do_id,drug_id,label_id,context,Contraindication,Effect,IDK,Indication: Symptomatic Relief,Indication: Treatment,worker_answers,inter_agree_workers,worker_consensus
DOID_0050214,DB00536,dfbcb78d-0758-4f15-9d9c-f4048b691d9d.xml,"Guanidine is indicated for the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis. The Eaton-Lambert syndrome is ordinarily differentiated from myasthenia gravis by the usual association of the syndrome with small cell carcinoma of the lung, but myography may be necessary to make the diagnosis.",0.07142857142857142,0.0,0.0,0.8928571428571429,0.03571428571428571,28,0.8928571428571429,Indication: Symptomatic Relief
DOID_0050425,DB00268,88db5bac-73c7-4b4f-a207-8f895223d778.xml,"['\n                     ', 'Parkinson‰Ûªs Disease', 'Ropinirole Hydrochloride Tablets\xa0are indicated for the treatment of the signs and symptoms of idiopathic Parkinson‰Ûªs disease.', None, 'The effectiveness of Ropinirole Hydrochloride Tablets were demonstrated in randomized, controlled trials in patients with early Parkinson‰Ûªs disease who were not receiving concomitant L-dopa therapy as well as in patients with advanced disease on concomitant L-dopa (see ', 'CLINICAL PHARMACOLOGY: Clinical Trials', '\n                        ', None, None, '\n                     ', 'Restless Legs Syndrome', 'Ropinirole Hydrochloride Tablets are\xa0indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS).', None, None, 'Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations; symptoms begin or worsen during periods of rest or inactivity such as lying or sitting; symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues; and symptoms are worse or occur only in the evening or night. Difficulty falling asleep may frequently be associated with moderate-to-severe RLS.']",0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3,0.6666666666666666,Indication: Treatment
DOID_0050425,DB00413,b5504316-3907-444c-b604-ec9a18cdcd6d.xml,"Mirapex (pramipexole dihydrochloride) tablets are indicated for the treatment of the signs and symptoms of idiopathic Parkinson's disease. 
The effectiveness of MIRAPEX tablets was demonstrated in randomized, controlled trials in patients with early Parkinson's disease who were not receiving concomitant levodopa therapy as well as in patients with advanced disease on concomitant levodopa (see 

                              

                                 
CLINICAL STUDIES
MIRAPEX tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS). 
Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations; symptoms begin or worsen during periods of rest or inactivity such as lying or sitting; symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues; and symptoms are worse or occur only in the evening or night. Difficulty falling asleep may frequently be associated with symptoms of RLS.",0.0,0.0,0.0,0.0,1.0,3,1.0,Indication: Treatment
DOID_0050425,DB05271,a6964835-dc96-4b22-8b64-464a42f6cdf2.xml,"NEUPRO is a dopamine agonist indicated for the treatment of:

                           
Parkinson's disease (
1.1
Moderate-to-severe primary Restless Legs Syndrome (
1.2
NEUPRO is indicated for the treatment of Parkinson's disease.
NEUPRO is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome.",0.0,0.0,0.0,0.0,1.0,3,1.0,Indication: Treatment
DOID_0050426,DB00495,../DailyMedExtracter/prescription/temp_xml/ba689018-f3bd-4c96-bfe8-cdaf7ea77f7f.xml,"[None, 'Zidovudine\xa0oral solution\xa0is contraindicated in patients who have had a potentially life-threatening hypersensitivity reaction (e.g., anaphylaxis, Stevens-Johnson syndrome) to any of the components of the formulation. ', None, 'Hypersensitivity to zidovudine or any of the components\xa0(e.g., anaphylaxis, Stevens-Johnson syndrome). ', '(4)']",0.3333333333333333,0.0,0.06666666666666667,0.4,0.2,15,0.4,No consensus
DOID_0050451,DB01182,../DailyMedExtracter/prescription/temp_xml/71d5cee6-245f-4d4a-8a59-e555c3ca4573.xml,"['Propafenone hydrochloride is contraindicated in the following circumstances:', '\n ', 'Heart failure', None, 'Cardiogenic shock', None, 'Sinoatrial, atrioventricular, and intraventricular disorders of impulse generation or conduction\xa0(e.g., sick sinus node syndrome, AV block) in the absence of an artificial pacemaker', None, 'Known Brugada Syndrome', None, 'Bradycardia', None, 'Marked hypotension', None, 'Bronchospastic disorders or severe obstructive pulmonary disease', None, 'Marked electrolyte imbalance', '\n ', 'Heart failure (', '4', 'Cardiogenic shock (', '4', 'Sinoatrial, atrioventricular, and intraventricular disorders of impulse generation or conduction in the absence of pacemaker (', '4', None, 'Known Brugada Syndrome (', '4', None, 'Bradycardia (', '4', 'Marked hypotension (', '4', 'Bronchospastic disorders and severe obstructive pulmonary disease (', '4', None, 'Marked electrolyte imbalance (', '4']",0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,6,0.3333333333333333,No consensus
DOID_0050452,DB06168,110863fe-9a07-49e2-85ea-f0442fc0eb41.xml,"['ILARIS is an interleukin-1ë_ blocker indicated for the treatment of:', '\n                           ', 'Periodic Fever Syndromes:', '\n                           ', '\n                              ', 'Cryopyrin-Associated Periodi', 'c', ' Syndromes (CAPS)', '\n                                 ', 'Familial Cold Autoinflammatory Syndrome (FCAS) (', '1.1', None, 'Muckle-Wells Syndrome (MWS)\xa0(', '1.1', None, '\n                              ', 'Tumor Necrosis Factor Receptor Associated Periodic Syndrome (TRAPS) ', '1.1', None, '\n                              ', 'Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)', '1.1', None, '\n                              ', 'Familial Mediterranean Fever (FMF)', '1.1', '\n                           ', 'Active ', 'Systemic Juvenile Idiopathic Arthritis (SJIA) ', '1.2', '\n                           ', 'ILARIS', '', '\n                           ', 'Cryopyrin-Associated Periodic Syndromes (CAPS)', 'ILARIS  is indicated for the treatment of Cryopyrin-Associated Periodic Syndromes (CAPS), in adults and children 4 years of age and older including:', '\n                           ', 'Familial Cold Autoinflammatory Syndrome (FCAS)', '\n                           ', 'Muckle-Wells Syndrome (MWS)', '\n                           ', '\n                              ', 'Tumor Necrosis Factor Receptor (TNF) Associated Periodic Syndrome (TRAPS)', '\n                           ', 'ILARIS is indicated for the treatment of Tumor Necrosis Factor (TNF) receptor Associated Periodic Syndrome (TRAPS) in adult and pediatric patients.', '\n                           ', '\n                              ', 'Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)', '\n                           ', 'ILARIS is indicated for the treatment of Hyperimmunoglobulin D (Hyper-IgD) Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD) in adult and pediatric patients.', '\n                           ', '\n                              ', 'Familial Mediterranean Fever (FMF)', '\n                           ', 'ILARIS is indicated for the treatment of Familial Mediterranean Fever (FMF) in adult and pediatric patients.', 'ILARIS is indicated for the treatment of active Systemic Juvenile Idiopathic Arthritis (SJIA) in patients aged 2 years and older. ']",0.0,0.0,0.0,0.0,1.0,3,1.0,Indication: Treatment
DOID_0050486,DB00268,../DailyMedExtracter/prescription/temp_xml/562758e3-f835-43ea-9f35-651b3d37596d.xml,"['\xa0Ropinirole extended-release tablets are contraindicated in patients known to have a hypersensitivity/allergic reaction including urticaria, angioedema, rash, pruritus) to ropinirole or any of the excipients.', None, 'History of hypersensitivity/ allergic reaction (including urticaria, angioedema, rash, pruritus) to ropinirole or to any of the excipients (4)']",0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3,0.6666666666666666,Indication: Symptomatic Relief
DOID_0050486,DB00291,../DailyMedExtracter/prescription/temp_xml/3a381a0f-800e-4adb-801d-7307e5eaa266.xml,ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_ÃƒÂ¥Ãƒ_Chlorambucil should not be used in patients whose disease has demonstrated a prior resistance to the agent. Patients who have demonstrated hypersensitivity to chlorambucil should not be given the drug. There may be cross-hypersensitivity (skin rash) between chlorambucil and other alkylating agents.,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,No consensus
DOID_0050486,DB06016,../DailyMedExtracter/prescription/temp_xml/03e4d2c4-600f-42a3-966e-254b83f38ccd.xml,"VRAYLARÃƒÂ¥Ãƒ_is contraindicated in patients with history of a hypersensitivity reaction to cariprazine. Reactions have ranged from rash, pruritus, urticaria,ÃƒÂ¥Ãƒ_andÃƒÂ¥Ãƒ_events suggestive of angioedema (e.g., swollen tongue, lip swelling, face edema, pharyngeal edema, and swelling face).
 Known hypersensitivity to VRAYLARÃƒÂ¥Ãƒ_(
 4",0.0,0.0,0.0,1.0,0.0,3,1.0,Indication: Symptomatic Relief
DOID_0050486,DB08909,../DailyMedExtracter/prescription/temp_xml/f8c326e1-5ef4-4b5a-88d4-77159f571e43.xml,"RAVICTI is contraindicated in patients with known hypersensitivity to phenylbutyrate. Signs of hypersensitivity include wheezing, dyspnea, coughing, hypotension, flushing, nausea, and rash.
 Known hypersensitivity to phenylbutyrate. (
 4",0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,3,0.6666666666666666,Indication: Symptomatic Relief
DOID_0050486,DB09128,../DailyMedExtracter/prescription/temp_xml/7bb8afc7-c9c3-deb7-e053-2a91aa0ae6d3.xml,"REXULTI is contraindicated in patients with a known hypersensitivity to brexpiprazole or any of its components. Reactions have included rash, facial swelling, urticaria, and anaphylaxis.
 Known hypersensitivity to REXULTI or any of its components (
  
  
  
 4",0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3,0.6666666666666666,Indication: Treatment
DOID_0050700,DB00445,../DailyMedExtracter/prescription/temp_xml/4f954c6a-221b-494c-aea7-1a8c1b65e424.xml,"Patients should not be treated with epirubicin hydrochloride injection if they have any of the following conditions:
 Cardiomyopathy and/or heart failure, recent myocardial infarction or severe arrhythmias [see 
 Warnings and Precautions (5.3)
 Previous treatment with maximum cumulative dose of anthracyclines [see 
 Warnings and Precautions (5)
 Hypersensitivity to epirubicin hydrochloride injection, other anthracyclines, or anthracenediones [see 
 Adverse Reactions (6.2)
  Patients should not be treated with epirubicin hydrochloride injection if they have any of the following conditions: baseline neutrophil countÃƒÂ¥Ãƒ_less thanÃƒÂ¥Ãƒ_1500 cells/mm
 3; 
 4",0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,9,0.3333333333333333,No consensus
DOID_0050782,DB00213,18f7b809-b270-4d44-8065-685bac30efc0.xml,"['Pantoprazole sodium delayed-release tablets are indicated for:', None, 'Pantoprazole sodium delayed-release tablet is a proton pump inhibitor indicated for the following:', '\n                           ', 'Short-Term Treatment of Erosive Esophagitis Associated with Gastroesophageal Reflux Disease (GERD) (', '1.1', 'Maintenance of Healing of Erosive Esophagitis (', '1.2', 'Pathological Hypersecretory Conditions Including Zollinger-Ellison Syndrome (', '1.3', None, '\n                           ', 'Pantoprazole sodium delayed-release tablets are indicated in adults for the short-term treatment (up to 8 weeks) in the healing and symptomatic relief of erosive esophagitis. For those adult patients who have not healed after 8 weeks of treatment, an additional 8-week course of pantoprazole sodium delayed-release tablets may be considered. Safety of treatment beyond 8 weeks in pediatric patients has not been established.', 'Pediatric indication and usage information in pediatric patients ages five years and older with erosive esophagitis associated with GERD is approved for Wyeth Pharmaceuticals Inc.‰Ûªs pantoprazole sodium delayed-release tablets. However, due to Wyeth Pharmaceuticals Inc.‰Ûªs marketing exclusivity rights, this drug product is not labeled with that pediatric information.', None, 'Pantoprazole sodium delayed-release tablets are indicated for maintenance of healing of erosive esophagitis and reduction in relapse rates of daytime and nighttime heartburn symptoms in adult patients with GERD. Controlled studies did not extend beyond 12 months.', None, 'Pantoprazole sodium delayed-release tablets are indicated for the long-term treatment of pathological hypersecretory conditions, including Zollinger-Ellison syndrome.', None]",0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3,0.6666666666666666,Indication: Treatment
