_unit_id,Worker Answer,context,drug_name,disease_name
2270472226,effect,"(See INDICATIONS AND USAGE and WARNINGS.)  Experience in over 1,400 patients with nifedipine immediate-release capsules in a noncomparative clinical trial has shown that concomitant administration of nifedipine and beta-blocking agents is usually well tolerated, but there have been occasional literature reports suggesting that the combination may increase the likelihood of congestive heart failure, severe hypotension, or exacerbation of angina.",Nifedipine,CONGESTIVE HEART FAILURE
2270469148,effect,"*Early clinical studies and incidence rates from early clinical experience with allopurinol suggested that these adverse reactions were found to occur at a rate of greater than 1%. The most frequent event observed was acute attacks of gout following the initiation of therapy. Analyses of current usage suggest that the incidence of these adverse reactions is now less than 1%. The explanation for this decrease has not been determined, but it may be due to following recommended usage (see ADVERSE REACTIONS introduction, INDICATIONS AND USAGE, PRECAUTIONS, and DOSAGE AND ADMINISTRATION).",Allopurinol,GOUT
2270472289,effect,"*Early clinical studies and incidence rates from early clinical experience with allopurinol suggested that these adverse reactions were found to occur at a rate of greater than 1%. The most frequent event observed was acute attacks of gout following the initiation of therapy. Analyses of current usage suggest that the incidence of these adverse reactions is now less than 1%. The explanation for this decrease has not been determined, but it may be due to following recommended usage (see ADVERSE REACTIONS introduction, INDICATIONS AND USAGE, PRECAUTIONS, and DOSAGE AND ADMINISTRATION).",Allopurinol,GOUT
2259533372,indication_treatment,"1 INDICATIONS AND USAGE

 1.1 Hypertension 
ACEON is indicated for the treatment of patients with essential hypertension. ACEON may be used alone or given with other classes of antihypertensives, especially thiazide diuretics.
 1.2 Stable Coronary Artery Disease 
ACEON is indicated for treatment of patients with stable coronary artery disease to reduce the risk of cardiovascular mortality or nonfatal myocardial infarction. ACEON can be used with conventional treatment for management of coronary artery disease, such as antiplatelet, antihypertensive or lipid-lowering therapy.
Close",Perindopril,hypertension
2259533358,indication_treatment,"1 INDICATIONS AND USAGE

 1.1 Hypertension 
Diovaní‰Œ¬ (valsartan) is indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.
 1.2 Heart Failure 
Diovan is indicated for the treatment of heart failure (NYHA class II-IV). In a controlled clinical trial, Diovan significantly reduced hospitalizations for heart failure. There is no evidence that Diovan provides added benefits when it is used with an adequate dose of an ACE inhibitor. [Seeí‰ŒæClinical Studies (14.2)]í‰Œæ 
 1.3 Post-Myocardial Infarction 
In clinically stable patients with left ventricular failure or left ventricular dysfunction following myocardial infarction, Diovan is indicated to reduce cardiovascular mortality. [Seeí‰ŒæClinical Studies (14.3)] 
Close",Valsartan,hypertension
2259533362,indication_treatment,"1 INDICATIONS AND USAGE

 1.1 Hypertension 
Diovaní‰Œ¬ (valsartan) is indicated for the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.
 1.2 Heart Failure 
Diovan is indicated for the treatment of heart failure (NYHA class II-IV). In a controlled clinical trial, Diovan significantly reduced hospitalizations for heart failure. There is no evidence that Diovan provides added benefits when it is used with an adequate dose of an ACE inhibitor. [Seeí‰ŒæClinical Studies (14.2)]í‰Œæ 
 1.3 Post-Myocardial Infarction 
In clinically stable patients with left ventricular failure or left ventricular dysfunction following myocardial infarction, Diovan is indicated to reduce cardiovascular mortality. [Seeí‰ŒæClinical Studies (14.3)] 
Close",Valsartan,hypertension
2259533373,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Hypertension
ATACAND is indicated for the treatment of hypertension in adults and children 1 to < 17 years of age. It may be used alone or in combination with other antihypertensive agents.
1.2 Heart Failure
ATACAND is indicated for the treatment of heart failure (NYHA class II-IV) in adults with left ventricular systolic dysfunction (ejection fraction í¢äóÁŒ_ 40%) to reduce cardiovascular death and to reduce heart failure hospitalizations [see CLINICAL STUDIES (14.2)]. ATACAND also has an added effect on these outcomes when used with an ACE inhibitor.
Close",Candesartan cilexetil,hypertension
2259533409,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Hypothyroidism
 CYTOMEL is indicated as a replacement therapy in primary (thyroidal), secondary (pituitary), and tertiary (hypothalamic) congenital or acquired hypothyroidism. 
1.2 Pituitary Thyroid-Stimulating Hormone(TSH) Suppression
 CYTOMEL is indicated as an adjunct to surgery and radioiodine therapy in the management of well-differentiated thyroid cancer. 
1.3 Thyroid Suppression Test
 CYTOMEL is indicated as a diagnostic agent in suppression tests to differentiate suspected mild hyperthyroidism or thyroid gland autonomy. 
 Limitations of Use 
 CYTOMEL is not indicated for suppression of benign thyroid nodules and nontoxic diffuse goiter in iodine-sufficient patients as there are no clinical benefits and overtreatment with CYTOMEL may induce hyperthyroidism [see Warnings and Precautions (5.4)]. 
 CYTOMEL is not indicated for treatment of hypothyroidism during the recovery phase of subacute thyroiditis. 
Close",Liothyronine,thyroid cancer
2259533342,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Major Depressive Disorder
Venlafaxine hydrochloride extended-release capsules are indicated for the treatment of major depressive disorder (MDD). Efficacy was established in three short-term (4, 8, and 12 weeks) and two long-term, maintenance trials.
1.4 Panic Disorder
Venlafaxine hydrochloride extended-release capsules are indicated for the treatment of Panic Disorder (PD), with or without agoraphobia. Efficacy was established in two 12-week placebo-controlled trials.
Close",Venlafaxine,panic disorder
2259533330,indication_treatment,"1 INDICATIONS AND USAGE

1.1 Ovarian Cancer
DOXIL is indicated for the treatment of patients with ovarian cancer whose disease has progressed or recurred after platinum-based chemotherapy.
1.2 AIDS-Related Kaposi's Sarcoma
DOXIL is indicated for the treatment of AIDS-related Kaposi's sarcoma in patients after failure of prior systemic chemotherapy or intolerance to such therapy.
1.3 Multiple Myeloma
DOXIL, in combination with bortezomib, is indicated for the treatment of patients with multiple myeloma who have not previously received bortezomib and have received at least one prior therapy.
Close",Epirubicin,ovarian cancer
