DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
965	drostanolone propionate	Malignant tumor of breast	C0006142	254837009	DOID:1612
318	benzbromarone	Gout	C0018099	90560007	DOID:13189
318	benzbromarone	Hyperuricemia	C0740394	35885006	DOID:1920
1031	epitizide	Hypertensive disorder	C0020538	38341003	DOID:10763
3578	tafenoquine	Malaria	C0024530	61462000	DOID:12365
5197	mecasermin rinfabate	Laron-type isolated somatotropin defect	C0271568	38196001	DOID:9521
2189	piperidione	Cough	C0010200	49727002	
2454	sobrerol	Chronic bronchitis	C0008677	63480004	DOID:6132
2005	oxaceprol	Osteoarthritis	C0029408	396275006	DOID:381
175	aminorex	Weight loss	C0043096	89362005	
3426	pentorex	Weight loss	C0043096	89362005	
5279	ibalizumab	Human immunodeficiency virus infection	C0019693	86406008	DOID:526
5280	fostamatinib	Immune thrombocytopenia	C0272286	2897005	DOID:1587
5281	tildrakizumab	Plaque psoriasis	C0406317	200965009	
5282	burosumab	Familial x-linked hypophosphatemic vitamin D refractory rickets	C3536984	82236004	
5283	fosnetupitant	Chemotherapy-induced nausea and vomiting	C0401160	236084000	
5284	erenumab	Migraine	C0149931	37796009	DOID:6364
5285	avatrombopag	Thrombocytopenic disorder	C0040034	302215000	DOID:1588
5286	moxidectin	Infection by Onchocerca volvulus	C0029001	38539003	DOID:11678
5287	plazomicin	Urinary tract infectious disease	C0042029	68566005	
5288	cannabidiol	Lennox-Gastaut syndrome	C0238111	230418006	
5288	cannabidiol	Severe myoclonic epilepsy in infancy	C0751122	230437002	
5289	encorafenib	Metastatic malignant melanoma	C0860594	443493003	
5290	binimetinib	Metastatic malignant melanoma	C0860594	443493003	
5226	deutetrabenazine	Tardive dyskinesia	C0686347	102449007	
5253	vaborbactam	Urinary tract infection caused by Klebsiella	C4076057		
5253	vaborbactam	Escherichia coli urinary tract infection	C0577708	301011002	
5256	copanlisib	Follicular lymphoma	C0024301	55150002	
2427	secnidazole	Bacterial vaginosis	C0085166	419760006	DOID:3385
5257	butylphthalide	Ischemic stroke	C0948008	422504002	
5259	abemaciclib	Hormone receptor positive malignant neoplasm of breast	C1562029	417181009	
4072	ascorbic acid	Ascorbic acid deficiency	C0003969	76169001	DOID:13724
5260	acalabrutinib	Mantle cell lymphoma	C0334634	443487006	
3739	etoxazene	Urinary tract pain	C0423701	247382002	
5261	latanoprostene bunod	Open-angle glaucoma	C0017612	84494001	DOID:1067
5261	latanoprostene bunod	Ocular hypertension	C0028840	4210003	DOID:9282
5262	letermovir	Cytomegalovirus infection	C0010823	28944009	
5263	benralizumab	Eosinophilic asthma	C1527407	367542003	DOID:5870
5264	vestronidase alfa	Mucopolysaccharidosis, MPS-VII	C0085132	43916004	DOID:12803
2413	rupatadine	Allergic rhinitis	C2607914	61582004	
2413	rupatadine	Urticaria	C0042109	126485001	
5265	lonoctocog alfa	Hereditary factor VIII deficiency disease	C0019069	28293008	DOID:12134
5267	semaglutide	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
5268	emicizumab	Hereditary factor VIII deficiency disease	C0019069	28293008	DOID:12134
5058	ozenoxacin	Staphylococcal infection of skin	C0038166	402938009	
5266	amenamevir	Herpes zoster	C0019360	4740000	DOID:8536
5269	netarsudil	Open-angle glaucoma	C0017612	84494001	DOID:1067
5269	netarsudil	Ocular hypertension	C0028840	4210003	DOID:9282
5258	tivozanib	Renal cell carcinoma	C0007134	702391001	DOID:4450
5229	forodesine	Peripheral T-cell lymphoma	C0079774	109977009	
4654	regorafenib	Liver cell carcinoma	C2239176	109841003	
5231	midostaurin	Acute myeloid leukemia, disease	C0023467	91861009	DOID:9119
5231	midostaurin	Aggressive systemic mastocytosis	C1112486	716655008	DOID:4798
5231	midostaurin	Mast cell leukemia	C0023461	110002002	DOID:9254
5230	cerliponase alfa	Late-infantile neuronal ceroid lipofuscinosis	C0022340	14637005	
5232	abaloparatide	At risk of osteoporotic fracture	C1272017	391040000	
5233	brigatinib	Non-small cell lung cancer	C0007131	254637007	DOID:3908
5234	durvalumab	Transitional cell carcinoma	C0007138	27090000	DOID:2671
4933	tocilizumab	Giant cell arteritis	C0039483	414341000	DOID:13375
5235	cenegermin	Neurotrophic keratitis	C0339296	128080005	
5237	sarilumab	Rheumatoid arthritis	C0003873	69896004	DOID:7148
2449	sitafloxacin	Respiratory tract infection	C0035243	275498002	
2449	sitafloxacin	Urinary tract infectious disease	C0042029	68566005	
2438	setiptiline	Depressive disorder	C0011581	35489007	DOID:2848
5238	delafloxacin	Bacterial infection of skin	C0162627	128936008	
5240	polmacoxib	Osteoarthritis	C0029408	396275006	DOID:381
5239	evogliptin	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
5236	benproperine	Cough	C0010200	49727002	
5241	betrixaban	At risk of venous thromboembolus	C1960639	427631000	
667	cladribine	Relapsing remitting multiple sclerosis	C0751967	426373005	DOID:2378
5242	voxilaprevir	Chronic hepatitis C	C0524910	128302006	
5243	glecaprevir	Chronic hepatitis C	C0524910	128302006	
5244	pibrentasvir	Chronic hepatitis C	C0524910	128302006	
1253	ftivazide	Tuberculosis	C0041296	56717001	
5203	rucaparib	Malignant tumor of ovary	C1140680	363443007	DOID:2394
5202	baricitinib	Rheumatoid arthritis	C0003873	69896004	DOID:7148
67	acetyldigitoxin	Atrial fibrillation	C0004238	49436004	DOID:0060224
67	acetyldigitoxin	Congestive heart failure	C0018802	42343007	DOID:6000
3000	acexamic acid	Skin ulcer	C0037299	46742003	
76	acipimox	Hyperlipoproteinemia	C0020476	3744001	DOID:1168
5201	crisaborole	Atopic dermatitis	C0011615	24079001	DOID:3310
5204	ferumoxytol	Iron deficiency anemia	C0162316	87522002	
5206	pegademase	Adenosine deaminase deficiency	C0268124	44940001	DOID:5810
5205	interferon alfa-2b	Hairy cell leukemia	C0023443	118613001	DOID:285
5205	interferon alfa-2b	Malignant melanoma	C0025202	372244006	DOID:1909
5205	interferon alfa-2b	Follicular lymphoma	C0024301	55150002	
5205	interferon alfa-2b	Condyloma acuminatum	C0009663	240542006	DOID:11168
5205	interferon alfa-2b	Kaposi's sarcoma associated with AIDS	C0276535	420524008	
5205	interferon alfa-2b	Chronic hepatitis C	C0524910	128302006	
5205	interferon alfa-2b	Chronic type B viral hepatitis	C0524909	61977001	
5207	nusinersen	Spinal muscular atrophy	C0026847	5262007	DOID:12377
2032	oxymetazoline	Persistent erythema of skin	C1720538	420356000	
1430	imolamine	Angina pectoris	C0002962	194828000	
5208	plecanatide	Chronic idiopathic constipation	C0267509	82934008	
5210	olmutinib	Non-small cell lung cancer	C0007131	254637007	DOID:3908
5209	icotinib	Non-small cell lung cancer	C0007131	254637007	DOID:3908
4394	clevudine	Chronic type B viral hepatitis	C0524909	61977001	
5188	radotinib	Chronic myeloid leukemia	C0023473	92818009	DOID:8552
