dbid,atc_label
DB00001,B01AE02
DB01022,B02BA01
DB01373,A11GB01
DB01373,M05BB08
DB01373,M05BB05
DB01373,M05BB04
DB01373,M05BB02
DB01373,M05BB01
DB01373,A11AA02
DB00002,L01XC06
DB00006,B01AE06
DB00009,B01AD02
DB00009,S01XA13
DB00013,B01AD04
DB00015,B01AD07
DB00029,B01AD03
DB00031,B01AD11
DB00054,B01AC13
DB00063,B01AC16
DB00072,L01XC03
DB00086,B01AD01
DB00086,B06AA55
DB00112,L01XC07
DB00114,A11HA06
DB00125,B05XB01
DB00129,A05BA06
DB00130,A16AA03
DB00142,A09AB01
DB03904,D02AE01
DB03904,B05BC02
DB03904,D02AE51
DB00118,A16AA02
DB00134,V03AB26
DB00145,B05CX03
DB00855,L01XD04
DB01593,C05AX04
DB00126,G01AD03
DB00126,A11GA01
DB00126,A11GB01
DB00126,S01XA15
DB00360,A16AX07
DB00368,C01CA03
DB00668,A01AD01
DB00668,R03AK01
DB00668,B02BC09
DB00668,C01CA24
DB00668,S01EA01
DB00668,R01AA14
DB00668,R03AA01
DB00668,S01EA51
DB00988,C01CA04
DB01235,N04BA03
DB01235,N04BA01
DB01235,N04BA02
DB01592,B03AE01
DB01592,B03AE02
DB01592,A11AA01
DB01592,B03AE04
DB01592,B03AE03
DB00121,A11HA05
DB03766,S01AX10
DB00435,R07AX01
DB00847,A16AA04
DB00847,S01XA21
DB00640,C01EB10
DB00143,V03AB32
DB00123,B05XB03
DB00822,P03AA04
DB00822,P03AA54
DB00822,N07BB01
DB00898,V03AB16
DB00898,V03AZ01
DB00898,D08AX08
DB03166,S02AA10
DB03166,G01AD02
DB00583,A16AA01
DB04335,G01AX02
DB04335,S01XA10
DB04335,D06BB05
DB00993,L04AX01
DB01033,L01BB02
DB00352,L01BB03
DB00158,B03AE01
DB00158,B03AE02
DB00158,B03BB01
DB00158,B03BB51
DB00563,L04AX03
DB00563,L01BA01
DB00650,V03AF06
DB00650,V03AF03
DB00207,J01RA07
DB00207,S01AA26
DB00207,J01FA10
DB01190,D10AF01
DB01190,J01FF01
DB01190,D10AF51
DB01190,G01AA10
DB00199,J01FA01
DB00199,D10AF02
DB00199,S01AA17
DB00199,D10AF52
DB01172,S01AA24
DB01172,J01GB04
DB01172,A07AA08
DB00452,D09AA01
DB00452,R01AX08
DB00452,S01AA07
DB00955,S01AA23
DB00955,J01GB07
DB01082,J04AM01
DB01082,J01GA01
DB01082,A07AA54
DB01082,A07AA04
DB00453,J01AA11
DB01783,D03AX04
DB01783,A11HA31
DB00684,S01AA12
DB00684,J01GB01
DB01301,J01AA20
DB01301,J01AA09
DB01211,A02BD11
DB01211,A02BD04
DB01211,A02BD05
DB01211,A02BD07
DB01211,A02BD09
DB01211,A02BD06
DB01211,J01FA09
DB00778,J01FA06
DB00798,S01AA11
DB00798,S02AA14
DB00798,D06AX07
DB00798,S03AA06
DB00798,J01GB03
DB00595,J01AA20
DB00595,J01AA06
DB00595,S01AA04
DB00595,J01AA56
DB00595,D06AA03
DB00595,G01AA07
DB00759,J01AA20
DB00759,A02BD02
DB00759,S02AA08
DB00759,A01AB13
DB00759,J01AA07
DB00759,S01AA09
DB00759,J01RA08
DB00759,S03AA02
DB00759,D06AA04
DB00759,A02BD08
DB06696,J01GB12
DB01321,J01FA07
DB00976,J01FA15
DB00479,S01AA21
DB00479,D06AX12
DB00479,J01GB06
DB00479,J01RA06
DB00919,J01XX04
DB00618,J01AA20
DB00618,J01AA01
DB00618,D06AA01
DB00254,J01AA02
DB00254,A01AB22
DB00254,J01AA20
DB01017,J01AA20
DB01017,J01AA08
DB01017,A01AB23
DB00252,N03AB02
DB00252,N03AB52
