Annotation,Context,DO_ID,Disease,Drug,DrugName,From,Label_ID,Prob,To,Type
HYPERTENSION,Dorzolamide HCl Ophthalmic Solution is indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.|Dorzolamide HCl Ophthalmic Solution is a carbonic anhydrase inhibitor indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma. (|1,DOID:10763,C0020540,DB00869,DORZOLAMIDE,124,a739748e-3ec3-422c-89fa-c9fb70c3b111.xml,0.31,135,PREF
HYPERTENSION,"Spironolactone tablets are an aldosterone antagonist indicated for:|
                           |The treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and to reduce the need for hospitalization for heart failure (|1.1|Use as an add-on therapy for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions (|1.2|The management of edema in adult patients who are cirrhotic when edema is not responsive to fluid and sodium restrictions and in the setting of nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response (|1.3|Treatment of primary hyperaldosternism for: (|1.4|
                           |Short-term preoperative treatment|Long-term maintenance for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery and patients with bilateral micro or macronodular adrenal hyperplasia|Spironolactone tablets are indicated for treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and reduce the need for hospitalization for heart failure. | Spironolactone tablets are usually administered in conjunction with other heart failure therapies.|Spironolactone tablets are indicated as add-on therapy for the treatment of hypertension, to lower blood pressure in patients who are not adequately controlled on other agents. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes. |Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). |Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. |Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. |Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.|Spironolactone tablets are indicated for the management of edema in the following settings:|
                           |Cirrhosis of the liver when edema is not responsive to fluid and sodium restriction. |Nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response.|Because it increases serum potassium, spironolactone tablets may be useful for treating edema when administration of other diuretics has caused hypokalemia.|Spironolactone tablets are indicated in the following settings:|
                           |Short-term preoperative treatment of patients with primary hyperaldosteronism.|Long-term maintenance therapy for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery.|Long-term maintenance therapy for patients with bilateral micro or macronodular adrenal hyperplasia (idiopathic hyperaldosteronism).",DOID:10763,C0013537,DB00421,SPIRONOLACTONE,326,7d5a2cb0-152f-4229-a2a5-012c260ccfe6.xml,0.31,337,PREF
HYPERTENSION,Dorzolamide HCl Ophthalmic Solution is indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.|Dorzolamide HCl Ophthalmic Solution is a carbonic anhydrase inhibitor indicated in the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma. (|1,DOID:10763,C0020542,DB00869,DORZOLAMIDE,124,a739748e-3ec3-422c-89fa-c9fb70c3b111.xml,0.31,135,PREF
HYPERTENSION,"Lisinopril tablet USP is an angiotensin converting enzyme (ACE) inhibitor indicated for:|
                           |
                              |•|1.1|
                              |•|1.2|
                              |•|1.3|Lisinopril tablet USP is indicated for the treatment of hypertension in adult patients and pediatric patients 6 years of age and older to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes.|Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program's Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC).|Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly.|Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. |Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. |Lisinopril tablets USP may be administered alone or with other antihypertensive agents |[see CLINICAL STUDIES (|14.1|Lisinopril tablet USP is indicated to reduce signs and symptoms of systolic heart failure |[see CLINICAL STUDIES (|14.2|Lisinopril tablet USP is indicated for the reduction of mortality in treatment of hemodynamically stable patients within 24 hours of acute myocardial infarction. Patients should receive, as appropriate, the standard recommended treatments such as thrombolytics, aspirin and beta-blockers |[see|CLINICAL STUDIES (|14.3",DOID:10763,C0013537,DB00722,LISINOPRIL ANHYDROUS,289,110ea067-4809-4808-b2e2-c71243feaf0a.xml,0.31,300,PREF
HYPERTENSION,"Captopril tablets are indicated for the treatment of hypertension.|In using captopril tablets, consideration should be given to the risk of neutropenia/agranulocytosis (see 
         
 
  |WARNINGS|Captopril tablets may be used as initial therapy for patients with normal renal function, in whom the risk is relatively low. In patients with impaired renal function, particularly those with collagen vascular disease, captopril should be reserved for hypertensives who have either developed unacceptable side effects on other drugs, or have failed to respond satisfactorily to drug combinations.|Captopril tablets are effective alone and in combination with other antihypertensive agents, especially thiazide-type diuretics. The blood pressure lowering effects of captopril and thiazides are approximately additive.|Captopril tablets are indicated in the treatment of congestive heart failure usually in combination with diuretics and digitalis. The beneficial effect of captopril in heart failure does not require the presence of digitalis, however, most controlled clinical trial experience with captopril has been in patients receiving digitalis, as well as diuretic treatment.|Captopril tablets are indicated to improve survival following myocardial infarction in clinically stable patients with left ventricular dysfunction manifested as an ejection fraction ≤ 40% and to reduce the incidence of overt heart failure and subsequent hospitalizations for congestive heart failure in these patients.|Captopril tablets are indicated for the treatment of diabetic nephropathy (proteinuria > 500 mg/day) in patients with type I insulin-dependent diabetes mellitus and retinopathy. Captopril tablets decrease the rate of progression of renal insufficiency and development of serious adverse clinical outcomes (death or need for renal transplantation or dialysis).|In considering use of captopril tablets, it should be noted that in controlled trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. In addition, ACE inhibitors (for which adequate data are available) cause a higher rate of angioedema in black than in non-black patients (see 
         
 
  |WARNINGS: Head and Neck Angioedema|Intestinal Angioedema",DOID:10763,C0020542,DB01197,CAPTOPRIL,54,848cf5d3-3ceb-a19c-e053-2991aa0af469.xml,0.31,65,PREF
HYPERTENSION,"CRESTOR is an HMG Co-A reductase inhibitor indicated for:|
                           |adult patients with primary hyperlipidemia and mixed dyslipidemia as an adjunct to diet to reduce elevated total-C, LDL-C, ApoB, nonHDL-C, and TG levels and to increase HDL-C 
          
  
     |(1.1)|pediatric patients 8 to 17 years of age with heterozygous familial hypercholesterolemia (HeFH) to reduce elevated total-C, LDL-C and ApoB after failing an adequate trial of diet therapy 
          
  
     |(1.2)|pediatric patients 7 to 17 years of age with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C, total-C, nonHDL-C and ApoB as an adjunct to diet, either alone or with other lipid-lowering treatments 
          
  
     |(1.2)|adult patients with hypertriglyceridemia as an adjunct to diet 
          
  
     |(1.3)|adult patients with primary dysbetalipoproteinemia (Type III hyperlipoproteinemia) as an adjunct to diet 
          
  
     |(1.4)|adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C, total-C, and ApoB 
          
  
     |(1.5)|slowing the progression of atherosclerosis as part of a treatment strategy to lower total-C and LDL-C as an adjunct to diet 
          
  
     |(1.6)|risk reduction of MI, stroke, and arterial revascularization procedures in patients without clinically evident CHD, but with multiple risk factors 
          
  
     |(1.7)|
                           |Limitations of use |(1.8)|CRESTOR is indicated as adjunctive therapy to diet to reduce elevated Total-C, LDL-C, ApoB, nonHDL‑C, and triglycerides and to increase HDL‑C in adult patients with primary hyperlipidemia or mixed dyslipidemia. Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol when response to diet and nonpharmacological interventions alone has been inadequate. |CRESTOR is indicated as an adjunct to diet to:|
                           |reduce Total-C, LDL-C and ApoB levels in children and adolescents 8 to 17 years of age with heterozygous familial hypercholesterolemia if after an adequate trial of diet therapy the following findings are present: LDL-C >190 mg/dL, or >160 mg/dL along with a positive family history of premature cardiovascular disease (CVD) or two or more other CVD risk factors.
         |reduce LDL-C, Total-C, nonHDL-C and ApoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia, either alone or with other lipid-lowering treatments (e.g., LDL apheresis).
         |CRESTOR is indicated as adjunctive therapy to diet for the treatment of adult patients with hypertriglyceridemia.|CRESTOR is indicated as an adjunct to diet for the treatment of adult patients with primary dysbetalipoproteinemia (Type III Hyperlipoproteinemia).|CRESTOR is indicated as adjunctive therapy to other lipid-lowering treatments (e.g., LDL apheresis) or alone if such treatments are unavailable to reduce LDL‑C, Total‑C, and ApoB in adult patients with homozygous familial hypercholesterolemia.|CRESTOR is indicated as adjunctive therapy to diet to slow the progression of atherosclerosis in adult patients as part of a treatment strategy to lower Total‑C and LDL‑C to target levels.|In individuals without clinically evident coronary heart disease but with an increased risk of cardiovascular disease based on age ≥50 years old in men and ≥60 years old in women, hsCRP ≥2 mg/L, and the presence of at least one additional cardiovascular disease risk factor such as hypertension, low HDL‑C, smoking, or a family history of premature coronary heart disease, CRESTOR is indicated to:|
                           |reduce the risk of stroke
         |reduce the risk of myocardial infarction
         |reduce the risk of arterial revascularization procedures
         |CRESTOR has not been studied in Fredrickson Type I and V dyslipidemias.",DOID:10763,C0031190,DB01098,ROSUVASTATIN,3526,82bf2395-ab99-9f04-e053-2991aa0aa1a8.xml,0.31,3537,PREF
HYPERTENSION,"Spironolactone tablets are an aldosterone antagonist indicated for:|
                           |The treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and to reduce the need for hospitalization for heart failure (|1.1|Use as an add-on therapy for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions (|1.2|The management of edema in adult patients who are cirrhotic when edema is not responsive to fluid and sodium restrictions and in the setting of nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response (|1.3|Treatment of primary hyperaldosternism for: (|1.4|
                           |Short-term preoperative treatment|Long-term maintenance for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery and patients with bilateral micro or macronodular adrenal hyperplasia|Spironolactone tablets are indicated for treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and reduce the need for hospitalization for heart failure. | Spironolactone tablets are usually administered in conjunction with other heart failure therapies.|Spironolactone tablets are indicated as add-on therapy for the treatment of hypertension, to lower blood pressure in patients who are not adequately controlled on other agents. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes. |Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). |Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. |Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. |Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.|Spironolactone tablets are indicated for the management of edema in the following settings:|
                           |Cirrhosis of the liver when edema is not responsive to fluid and sodium restriction. |Nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response.|Because it increases serum potassium, spironolactone tablets may be useful for treating edema when administration of other diuretics has caused hypokalemia.|Spironolactone tablets are indicated in the following settings:|
                           |Short-term preoperative treatment of patients with primary hyperaldosteronism.|Long-term maintenance therapy for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery.|Long-term maintenance therapy for patients with bilateral micro or macronodular adrenal hyperplasia (idiopathic hyperaldosteronism).",DOID:10763,C0020540,DB00421,SPIRONOLACTONE,326,7d5a2cb0-152f-4229-a2a5-012c260ccfe6.xml,0.31,337,PREF
HYPERTENSION,Brimonidine tartrate ophthalmic solution 0.2% is an alpha adrenergic agonist indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension.|Brimonidine tartrate ophthalmic solution 0.2% is indicated for lowering intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension. |The IOP lowering efficacy of Brimonidine tartrate ophthalmic solution diminishes over time in some patients. This loss of effect appears with a variable time of onset in each patient and should be closely monitored. ,DOID:10763,C0020545,DB00484,BRIMONIDINE,175,eafce59d-7034-492f-9229-3e2d00045ff9.xml,0.31,186,PREF
HYPERTENSION,"Felodipine Extended-release Tablets, USP is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including felodipine.|Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC).|Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly.|Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal.|Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (eg, on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy.|Felodipine Extended-release Tablets, USP may be administered with other antihypertensive agents.",DOID:10763,C0013537,DB01023,FELODIPINE,76,81e75ab4-cd8a-db35-e053-2a91aa0a5b3c.xml,0.31,87,PREF
HYPERTENSION,"CRESTOR is an HMG Co-A reductase inhibitor indicated for:|
                           |adult patients with primary hyperlipidemia and mixed dyslipidemia as an adjunct to diet to reduce elevated total-C, LDL-C, ApoB, nonHDL-C, and TG levels and to increase HDL-C 
          
  
     |(1.1)|pediatric patients 8 to 17 years of age with heterozygous familial hypercholesterolemia (HeFH) to reduce elevated total-C, LDL-C and ApoB after failing an adequate trial of diet therapy 
          
  
     |(1.2)|pediatric patients 7 to 17 years of age with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C, total-C, nonHDL-C and ApoB as an adjunct to diet, either alone or with other lipid-lowering treatments 
          
  
     |(1.2)|adult patients with hypertriglyceridemia as an adjunct to diet 
          
  
     |(1.3)|adult patients with primary dysbetalipoproteinemia (Type III hyperlipoproteinemia) as an adjunct to diet 
          
  
     |(1.4)|adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C, total-C, and ApoB 
          
  
     |(1.5)|slowing the progression of atherosclerosis as part of a treatment strategy to lower total-C and LDL-C as an adjunct to diet 
          
  
     |(1.6)|risk reduction of MI, stroke, and arterial revascularization procedures in patients without clinically evident CHD, but with multiple risk factors 
          
  
     |(1.7)|
                           |Limitations of use |(1.8)|CRESTOR is indicated as adjunctive therapy to diet to reduce elevated Total-C, LDL-C, ApoB, nonHDL‑C, and triglycerides and to increase HDL‑C in adult patients with primary hyperlipidemia or mixed dyslipidemia. Lipid-altering agents should be used in addition to a diet restricted in saturated fat and cholesterol when response to diet and nonpharmacological interventions alone has been inadequate. |CRESTOR is indicated as an adjunct to diet to:|
                           |reduce Total-C, LDL-C and ApoB levels in children and adolescents 8 to 17 years of age with heterozygous familial hypercholesterolemia if after an adequate trial of diet therapy the following findings are present: LDL-C >190 mg/dL, or >160 mg/dL along with a positive family history of premature cardiovascular disease (CVD) or two or more other CVD risk factors.
         |reduce LDL-C, Total-C, nonHDL-C and ApoB in children and adolescents 7 to 17 years of age with homozygous familial hypercholesterolemia, either alone or with other lipid-lowering treatments (e.g., LDL apheresis).
         |CRESTOR is indicated as adjunctive therapy to diet for the treatment of adult patients with hypertriglyceridemia.|CRESTOR is indicated as an adjunct to diet for the treatment of adult patients with primary dysbetalipoproteinemia (Type III Hyperlipoproteinemia).|CRESTOR is indicated as adjunctive therapy to other lipid-lowering treatments (e.g., LDL apheresis) or alone if such treatments are unavailable to reduce LDL‑C, Total‑C, and ApoB in adult patients with homozygous familial hypercholesterolemia.|CRESTOR is indicated as adjunctive therapy to diet to slow the progression of atherosclerosis in adult patients as part of a treatment strategy to lower Total‑C and LDL‑C to target levels.|In individuals without clinically evident coronary heart disease but with an increased risk of cardiovascular disease based on age ≥50 years old in men and ≥60 years old in women, hsCRP ≥2 mg/L, and the presence of at least one additional cardiovascular disease risk factor such as hypertension, low HDL‑C, smoking, or a family history of premature coronary heart disease, CRESTOR is indicated to:|
                           |reduce the risk of stroke
         |reduce the risk of myocardial infarction
         |reduce the risk of arterial revascularization procedures
         |CRESTOR has not been studied in Fredrickson Type I and V dyslipidemias.",DOID:10763,C0020545,DB01098,ROSUVASTATIN,3526,82bf2395-ab99-9f04-e053-2991aa0aa1a8.xml,0.3,3537,PREF
