Label_ID,From,To,Type,Annotation,Context,DO_ID,Drug,DrugName,Disease
00dd39bc-874e-4250-935d-99882ca0e558.xml,138,143,PREF,ASTHMA,"Montelukast sodium is a leukotriene receptor antagonist indicated for:|
                           |Prophylaxis and chronic treatment of asthma in patients 2 years of age and older (|1.1|Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older (|1.2|Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 2 years of age and older (|1.3|Montelukast sodium| |Montelukast sodium| |Montelukast sodium| ",DOID:2841,DB00471,MONTELUKAST,C0004096
00dd39bc-874e-4250-935d-99882ca0e558.xml,138,143,PREF,ASTHMA,"Montelukast sodium is a leukotriene receptor antagonist indicated for:|
                           |Prophylaxis and chronic treatment of asthma in patients 2 years of age and older (|1.1|Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older (|1.2|Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 2 years of age and older (|1.3|Montelukast sodium| |Montelukast sodium| |Montelukast sodium| ",DOID:2841,DB00471,MONTELUKAST,C0155877
00dd39bc-874e-4250-935d-99882ca0e558.xml,138,143,PREF,ASTHMA,"Montelukast sodium is a leukotriene receptor antagonist indicated for:|
                           |Prophylaxis and chronic treatment of asthma in patients 2 years of age and older (|1.1|Acute prevention of exercise-induced bronchoconstriction (EIB) in patients 6 years of age and older (|1.2|Relief of symptoms of allergic rhinitis (AR): seasonal allergic rhinitis (SAR) in patients 2 years of age and older, and perennial allergic rhinitis (PAR) in patients 2 years of age and older (|1.3|Montelukast sodium| |Montelukast sodium| |Montelukast sodium| ",DOID:2841,DB00471,MONTELUKAST,C0155880
016d65c3-fff2-4e0c-9025-e2083cfa6a1f.xml,1608,1613,PREF,ASTHMA,"Prednisone tablets, USP are indicated in the following conditions:|
                     |Endocrine Disorders|Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the first choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance); congenital adrenal hyperplasia; hypercalcemia associated with cancer; nonsuppurative thyroiditis.|
                     |Rheumatic Disorders|As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in: psoriatic arthritis, rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose  maintenance therapy), ankylosing spondylitis, acute and subacute bursitis, acute nonspecific tenosynovitis, acute gouty arthritis, post-traumatic osteoarthritis, synovitis of osteoarthritis, epicondylitis.|
                     |Collagen Diseases|During an exacerbation or as maintenance therapy in selected cases of: systemic lupus erythematosus, systemic dermatomyositis (polymyositis),  acute rheumatic carditis.|
                     |Dermatologic Diseases|Pemphigus; bullous dermatitis herpetiformis; severe erythema multiforme (Stevens-Johnson syndrome); exfoliative dermatitis; mycosis fungoides; severe psoriasis; severe seborrheic dermatitis.|
                     |Allergic States|Control of severe or incapacitating allergic conditions intractable to adequate trials  of conventional treatment: seasonal or perennial allergic rhinitis; bronchial asthma; contact dermatitis; atopic dermatitis; serum sickness; drug hypersensitivity reactions.|
                     |Ophthalmic Diseases |Severe acute and chronic allergic and inflammatory  processes involving the eye and its adnexa  such as: allergic corneal marginal ulcers, herpes zoster ophthalmicus, anterior segment inflammation, diffuse posterior uveitis and choroiditis, sympathetic ophthalmia, allergic conjunctivitis, keratitis, chorioretinitis, optic neuritis, iritis and iridocyclitis.|
                     |Respiratory Diseases |Symptomatic sarcoidosis; Loeffler’s syndrome not manageable by other means; berylliosis; fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy; aspiration pneumonitis.|
                     |Hematologic Disorders |Idiopathic thrombocytopenic purpura in adults; secondary thrombocytopenia in adults; acquired (autoimmune) hemolytic anemia; erythroblastopenia (RBC anemia); congenital (erythroid) hypoplastic anemia.|
                     |Neoplastic Diseases |For palliative management of: leukemias and lymphomas in adults, acute leukemia of childhood.|
                     |Edematous States |To induce a diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus.|
                     |Gastrointestinal Diseases |To tide the patient over a critical period of the disease in: ulcerative colitis, regional enteritis.|
                     |Miscellaneous|Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapy; trichinosis with neurologic or myocardial involvement.",DOID:2841,DB00635,PREDNISONE,C0004096
0b14ed15-5ed0-4d84-adc2-1af54fb921e3.xml,328,333,PREF,ASTHMA,"When oral therapy is not feasible, and the strength, dosage form, and route of administration of the drug reasonably lend the preparation to the treatment of the condition, the |intravenous or intramuscular use|Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, serum sickness, transfusion reactions.|Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome).|Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy, mineralocorticoid supplementation is of particular importance), congenital adrenal hyperplasia, hypercalcemia associated with cancer, nonsuppurative thyroiditis.|To tide the patient over a critical period of the disease in regional enteritis (systemic therapy) and ulcerative colitis.|Acquired (autoimmune) hemolytic anemia, congenital (erythroid) hypoplastic anemia (Diamond-Blackfan anemia), idiopathic thrombocytopenic purpura in adults (intravenous administration only; intramuscular administration is contraindicated), pure red cell aplasia, selected cases of secondary thrombocytopenia.|Trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapy.|For the palliative management of leukemias and lymphomas.|Acute exacerbations of multiple sclerosis; cerebral edema associated with primary or metastatic brain tumor, or craniotomy.|Sympathetic ophthalmia, uveitis and ocular inflammatory conditions unresponsive to topical corticosteroids.|To induce diuresis or remission of proteinuria in idiopathic nephrotic syndrome or that due to lupus erythematosus.|Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis.|As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis; acute rheumatic carditis; ankylosing spondylitis; psoriatic arthritis; rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy). For the treatment of dermatomyositis, temporal arteritis, polymyositis, and systemic lupus erythematosus.",DOID:2841,DB00959,METHYLPREDNISOLONE,C0004096
0b14ed15-5ed0-4d84-adc2-1af54fb921e3.xml,328,333,PREF,ASTHMA,"When oral therapy is not feasible, and the strength, dosage form, and route of administration of the drug reasonably lend the preparation to the treatment of the condition, the |intravenous or intramuscular use|Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, serum sickness, transfusion reactions.|Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome).|Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy, mineralocorticoid supplementation is of particular importance), congenital adrenal hyperplasia, hypercalcemia associated with cancer, nonsuppurative thyroiditis.|To tide the patient over a critical period of the disease in regional enteritis (systemic therapy) and ulcerative colitis.|Acquired (autoimmune) hemolytic anemia, congenital (erythroid) hypoplastic anemia (Diamond-Blackfan anemia), idiopathic thrombocytopenic purpura in adults (intravenous administration only; intramuscular administration is contraindicated), pure red cell aplasia, selected cases of secondary thrombocytopenia.|Trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate antituberculous chemotherapy.|For the palliative management of leukemias and lymphomas.|Acute exacerbations of multiple sclerosis; cerebral edema associated with primary or metastatic brain tumor, or craniotomy.|Sympathetic ophthalmia, uveitis and ocular inflammatory conditions unresponsive to topical corticosteroids.|To induce diuresis or remission of proteinuria in idiopathic nephrotic syndrome or that due to lupus erythematosus.|Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis.|As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in acute gouty arthritis; acute rheumatic carditis; ankylosing spondylitis; psoriatic arthritis; rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy). For the treatment of dermatomyositis, temporal arteritis, polymyositis, and systemic lupus erythematosus.",DOID:2841,DB00959,METHYLPREDNISOLONE,C0038218
0aa5b103-849f-436a-9398-ab753cc78605.xml,2121,2126,PREF,ASTHMA,"
                     |
                        |A. |Intravenous or intramuscular administration. |
                     |1. |Endocrine disorders|Primary or secondary adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy, mineralocorticoid supplementation is of particular importance)|Acute adrenocortical insufficiency (hydrocortisone or cortisone is the drug of choice; mineralocorticoid supplementation may be necessary, particularly when synthetic analogs are used)|Preoperatively, and in the event of serious trauma or illness, in patients with known adrenal insufficiency or when adrenocortical reserve is doubtful|Shock unresponsive to conventional therapy if adrenocortical insufficiency exists or is suspected|Congenital adrenal hyperplasia|Nonsuppurative thyroiditis|Hypercalcemia associated with cancer|
                     |2. |
                        |Rheumatic disorders|As adjunctive therapy for short-term administration (to tide the patient over an acute episode or exacerbation) in: |Post-traumatic osteoarthritis|Synovitis of osteoarthritis|Rheumatoid arthritis, including juvenile rheumatoid arthritis (selected cases may require low-dose maintenance therapy)|Acute and subacute bursitis|Epicondylitis|Acute nonspecific tenosynovitis|Acute gouty arthritis|Psoriatic arthritis|Ankylosing spondylitis|
                     |3. |
                        |Collagen diseases|
                     |During an exacerbation or as maintenance therapy in selected cases of:|Systemic lupus erythematosus|Acute rheumatic carditis|
                     |4. |
                        |Dermatologic diseases|Pemphigus|Severe erythema multiforme (Stevens-Johnson Syndrome)|Exfoliative dermatitis|Bullous dermatitis herpetiformis|Severe seborrheic dermatitis|Severe psoriasis|Mycosis fungoides|
                     |5. |
                        |Allergic states|Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in:|Bronchial asthma|Contact dermatitis|Atopic dermatitis|Serum sickness|Seasonal or perennial allergic rhinitis|Drug hypersensitivity reactions|Urticarial transfusion reactions|Acute noninfectious laryngeal edema (epinephrine is the drug of first choice)|
                     |6. |
                        |Ophthalmic diseases|Severe acute and chronic allergic and inflammatory processes involving the eye, such as:|Herpes zoster ophthalmicus|Iritis, iridocyclitis|Chorioretinitis|Diffuse posterior uveitis and choroiditis|Optic neuritis|Sympathetic ophthalmia|Anterior segment inflammation|Allergic conjunctivitis|Allergic corneal marginal ulcers|Keratitis|
                     |7. |
                        |Gastrointestinal diseases|To tide the patient over a critical period of the disease in:|Ulcerative colitis (systemic therapy)|Regional enteritis (systemic therapy)|
                     |8. |
                        |Respiratory diseases|Symptomatic Sarcoidosis|Berylliosis|Fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate anti-tuberculosis chemotherapy|Loeffler's syndrome not manageable by other means|Aspiration pneumonitis|
                     |9. |
                        |Hematologic disorders|Acquired (autoimmune) hemolytic anemia |Idiopathic thrombocytopenic purpura in adults (I.V. only; I.M. administration is contraindicated)|Secondary thrombocytopenia in adults|Erythroblastopenia (RBC anemia)|Congenital (erythroid) hypoplastic anemia|
                     |10. |
                        |Neoplastic diseases|For palliative management of:|Leukemias and lymphomas in adults|Acute leukemia of childhood|
                     |11. |
                        |Edematous states|To induce diuresis or remission of proteinuria in the nephrotic syndrome, without uremia, of the idiopathic type or that due to lupus erythematosus|
                     |12. |
                        |Nervous system|Acute exacerbations of multiple sclerosis|
                     |13. |
                        |Miscellaneous|Tuberculous meningitis with subarachnoid block or impending block when used concurrently with appropriate anti-tuberculosis chemotherapy|Trichinosis with neurologic or myocardial involvement|Diagnostic testing of adrenocortical hyperfunction|Cerebral edema of diverse etiologies in conjunction with adequate neurological evaluation and management.|
                     |
                        |B. Intra-articular or soft tissue administration.|Synovitis of osteoarthritis|Rheumatoid arthritis|Acute and subacute bursitis|Acute gouty arthritis|Epicondylitis|Acute nonspecific tenosynovitis|Post-traumatic osteoarthritis|
                     |
                        |C. |Intralesional administration.|Keloids|Localized hypertrophic, infiltrated, inflammatory lesions of: lichen planus, psoriatic plaques, granuloma annulare, and lichen simplex chronicus (neurodermatitis)|Discoid lupus erythematosus|Necrobiosis lipoidica diabeticorum|Alopecia areata|They also may be useful in cystic tumors of an aponeurosis tendon (ganglia).",DOID:2841,DB01234,DEXAMETHASONE,C0004096
83e85d65-705b-bfea-e053-2991aa0a3d4b.xml,121,126,PREF,ASTHMA,Albuterol sulfate inhalation solution is indicated for the relief of bronchospasm in patients 2 to 12 years of age with asthma (reversible obstructive airway disease).,DOID:2841,DB01001,ALBUTEROL,C0004096
82c0a036-8754-5b3d-e053-2a91aa0a1815.xml,192,197,PREF,ASTHMA,"When oral therapy is not feasible, the 
       
 
  |intramuscular use|®|®|Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, serum sickness, transfusion reactions.|Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome).|Congenital adrenal hyperplasia, hypercalcemia associated with cancer, nonsuppurative thyroiditis.|Hydrocortisone or cortisone is the drug of choice in primary or secondary adrenocortical insufficiency. Synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance.|To tide the patient over a critical period of the disease in regional enteritis and ulcerative colitis.|Acquired (autoimmune) hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, selected cases of secondary thrombocytopenia.|Trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used with appropriate antituberculous chemotherapy.|For palliative management of leukemias and lymphomas.|Acute exacerbations of multiple sclerosis; cerebral edema associated with primary or metastatic brain tumor or craniotomy.|Sympathetic ophthalmia, temporal arteritis, uveitis and ocular inflammatory conditions unresponsive to topical corticosteroids.|To induce diuresis or remission of proteinuria in idiopathic nephrotic syndrome or that due to lupus erythematosus.|Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis.|
                           |Rheumatic Disorders|The 
         
 
  |intra-articular or soft tissue administration |The
         
 
  | intralesional administration |CELESTONE SOLUSPAN Injectable Suspension may also be useful in cystic tumors of an aponeurosis or tendon (ganglia).",DOID:2841,DB00443,BETAMETHASONE,C0004096
82c0a036-8754-5b3d-e053-2a91aa0a1815.xml,192,197,PREF,ASTHMA,"When oral therapy is not feasible, the 
       
 
  |intramuscular use|®|®|Control of severe or incapacitating allergic conditions intractable to adequate trials of conventional treatment in asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, perennial or seasonal allergic rhinitis, serum sickness, transfusion reactions.|Bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome).|Congenital adrenal hyperplasia, hypercalcemia associated with cancer, nonsuppurative thyroiditis.|Hydrocortisone or cortisone is the drug of choice in primary or secondary adrenocortical insufficiency. Synthetic analogs may be used in conjunction with mineralocorticoids where applicable; in infancy mineralocorticoid supplementation is of particular importance.|To tide the patient over a critical period of the disease in regional enteritis and ulcerative colitis.|Acquired (autoimmune) hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, selected cases of secondary thrombocytopenia.|Trichinosis with neurologic or myocardial involvement, tuberculous meningitis with subarachnoid block or impending block when used with appropriate antituberculous chemotherapy.|For palliative management of leukemias and lymphomas.|Acute exacerbations of multiple sclerosis; cerebral edema associated with primary or metastatic brain tumor or craniotomy.|Sympathetic ophthalmia, temporal arteritis, uveitis and ocular inflammatory conditions unresponsive to topical corticosteroids.|To induce diuresis or remission of proteinuria in idiopathic nephrotic syndrome or that due to lupus erythematosus.|Berylliosis, fulminating or disseminated pulmonary tuberculosis when used concurrently with appropriate antituberculous chemotherapy, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis.|
                           |Rheumatic Disorders|The 
         
 
  |intra-articular or soft tissue administration |The
         
 
  | intralesional administration |CELESTONE SOLUSPAN Injectable Suspension may also be useful in cystic tumors of an aponeurosis or tendon (ganglia).",DOID:2841,DB00443,BETAMETHASONE,C0038218
