Drug	Disease
DB00001	C0272275
DB00002	C0585362
DB00002	C3163899
DB00002	C1319317
DB00002	C0280324
DB00002	C0007102
DB00003	C0010674
DB00004	C0079773
DB00005	C0003873
DB00005	C3495559
DB00005	C0003872
DB00005	C0038013
DB00005	C0406317
DB00007	C0034013
DB00007	C0014175
DB00008	C0524910
DB00008	C0524909
DB00009	C0948008
DB00009	C0155626
DB00009	C0034065
DB00010	C0013338
DB00013	C0034065
DB00014	C1562029
DB00014	C0014175
DB00015	C0155626
DB00016	C1561828
DB00016	C1998329
DB00017	C0029458
DB00017	C0029401
DB00019	C1827687
DB00020	C1827687
DB00022	C0524910
DB00023	C0023449
DB00026	C0003873
DB00026	C2316212
DB00026	C0409818
DB00027	C0009768
DB00027	C0729587
DB00027	C0005743
DB00027	C0854211
DB00030	C0011854
DB00030	C0011860
DB00030	C0011849
DB00031	C0155626
DB00035	C0019069
DB00035	C0042974
DB00035	C0270327
DB00036	C0019069
DB00036	C0008533
DB00036	C0040015
DB00036	C0015503
DB00038	C0040034
DB00039	C0392190
DB00039	C1274988
DB00040	C0020615
DB00041	C0023467
DB00041	C0278678
DB00041	C0860594
DB00043	C0004096
DB00043	C0578870
DB00046	C0011854
DB00046	C0011860
DB00047	C0011854
DB00047	C0011860
DB00048	C0410065
DB00048	C0030848
DB00049	C0740394
DB00051	C0003873
DB00051	C3495559
DB00051	C0003872
DB00051	C0038013
DB00051	C0010346
DB00051	C0009324
DB00051	C0406317
DB00051	C0162836
DB00052	C0151686
DB00052	C0032897
DB00052	C0013338
DB00052	C0041408
DB00053	C0017205
DB00056	C0023467
DB00059	C0023449
DB00060	C0751967
DB00063	C0948089
DB00065	C0010346
DB00065	C0009324
DB00065	C0003873
DB00065	C0038013
DB00065	C0003872
DB00065	C0406317
DB00067	C0270327
DB00067	C0042974
DB00067	C0019069
DB00068	C0751967
DB00072	C1960398
DB00072	C0346993
DB00072	C0686068
DB00073	C0024305
DB00073	C0023434
DB00073	C0003873
DB00074	C0238217
DB00078	C0024301
DB00080	C1960924
DB00080	C2887088
DB00082	C0001206
DB00085	C0267963
DB00087	C0751967
DB00088	C1961835
DB00090	C0023786
DB00091	C0003873
DB00091	C0013238
DB00091	C0022575
DB00092	C0406317
DB00095	C0406317
DB00099	C1827687
DB00099	C0340970
DB00099	C0221023
DB00099	C2267231
DB00100	C0008533
DB00102	C0406526
DB00103	C0002986
DB00104	C0001206
DB00104	C0024586
DB00106	C2711256
DB00107	C0156543
DB00107	C0032797
DB00107	C0000810
DB00108	C0026769
DB00108	C0010346
DB00109	C0019693
DB00110	C0035235
DB00111	C0238217
DB00111	C0751967
DB00112	C0346974
DB00112	C2585890
DB00112	C1621958
DB00112	C0278678
DB00112	C0302592
DB00112	C0153467
DB00112	C0346161
DB00112	C0153579
DB00115	C0151482
DB00115	C0002892
DB00115	C0162316
DB00115	C1510471
DB00115	C0042847
DB00121	C2937225
DB00122	C0917801
DB00126	C1623040
DB00126	C1510471
DB00128	C0020621
DB00130	C0036992
DB00131	C0392164
DB00133	C0017612
DB00133	C0729524
DB00133	C0041327
DB00133	C0275959
DB00133	C0577708
DB00136	C0406317
DB00136	C0020598
DB00136	C0085682
DB00136	C0035086
DB00136	C0020626
DB00137	C0242383
DB00137	C0013238
DB00137	C1275684
DB00139	C0162316
DB00140	C0687148
DB00140	C1510471
DB00145	C1260880
DB00145	C0010200
DB00145	C0027424
DB00145	C2607914
DB00145	C0035455
DB00145	C0009443
DB00146	C0020598
DB00146	C0035086
DB00146	C0035579
DB00146	C0085682
DB00151	C0006277
DB00151	C0237963
DB00151	C0002726
DB00151	C0392164
DB00151	C0006267
DB00152	C0042847
DB00152	C0349464
DB00152	C1510471
DB00152	C0002892
DB00152	C0039841
DB00152	C0687148
DB00153	C0042870
DB00153	C0029442
DB00153	C0035579
DB00153	C0221468
DB00153	C1510471
DB00153	C0029456
DB00153	C0020598
DB00153	C0029458
DB00153	C3536984
DB00153	C0020626
DB00158	C0151482
DB00158	C0687148
DB00158	C1623040
DB00158	C0162316
DB00158	C0016412
