"drugid"	"smiles"
"DB00006"	"CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O"
"DB00163"	"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C"
"DB00266"	"OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2"
"DB00304"	"[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]"
"DB00396"	"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C"
"DB00932"	"CCC[C@@]1(CCC2=CC=CC=C2)CC(=O)C([C@H](CC)C2=CC(NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)=CC=C2)=C(O)O1"
"DB00945"	"CC(=O)OC1=CC=CC=C1C(O)=O"
"DB00946"	"CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2"
"DB00974"	"OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O"
"DB01097"	"CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F"
"DB01225"	"CC(=O)NC1C(O)OC(COS(O)(=O)=O)C(OC2OC(C(OC3OC(CO)C(OC4OC(C(O)C(O)C4OS(O)(=O)=O)C(O)=O)C(OS(O)(=O)=O)C3NS(O)(=O)=O)C(O)C2OS(O)(=O)=O)C(O)=O)C1O"
"DB01254"	"CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1"
"DB00114"	"CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O"
"DB00159"	"CCC=C/CC=C/CC=C/CC=C/CC=C/CCCC(O)=O"
"DB00227"	"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC"
"DB00242"	"NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1"
"DB00244"	"NC1=CC(C(O)=O)=C(O)C=C1"
"DB00252"	"O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1"
"DB00262"	"ClCCNC(=O)N(CCCl)N=O"
"DB00282"	"NCCC(O)(P(O)(O)=O)P(O)(O)=O"
"DB00287"	"CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1C=C[C@@H](O)COC1=CC=CC(=C1)C(F)(F)F"
"DB00291"	"OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl"
"DB00297"	"CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C"
"DB00300"	"C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O"
"DB00305"	"CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O"
"DB00307"	"CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C"
"DB00309"	"[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C)[C@@]1([H])[C@](O)([C@H](O)[C@]2(CC)C=CC3)C(N)=O)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC"
"DB00388"	"CNC[C@H](O)C1=CC(O)=CC=C1"
"DB00390"	"[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1"
"DB00400"	"COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC"
"DB00488"	"CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C"
"DB00619"	"CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1"
"DB00625"	"FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1"
"DB00630"	"NCCCC(O)(P(O)(O)=O)P(O)(O)=O"
"DB00631"	"[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12"
"DB00641"	"[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC"
"DB00648"	"ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl"
"DB00654"	"CC(C)OC(=O)CCCC=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1"
"DB00658"	"NCC=C.ClCC1CO1"
"DB00724"	"CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N"
"DB00917"	"CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=C/CCCC(O)=O"
"DB00919"	"[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2"
"DB00925"	"CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1"
"DB00928"	"NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"
"DB00929"	"CCCCC(C)(O)CC=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"
"DB00958"	"N.N.O=C1O[Pt]OC(=O)C11CCC1"
