"drugid"	"geneid"
"DB00804"	"Q53XZ3"
"DB00804"	"P11229"
"DB00670"	"Q53XZ3"
"DB00670"	"P11229"
"DB02021"	"P15121"
"DB02021"	"A0A024R7A8"
"DB02712"	"P15121"
"DB02712"	"A0A024R7A8"
"DB01268"	"P35916"
"DB00398"	"P35916"
"DB00044"	"P22888"
"DB00279"	"P10828"
"DB00279"	"F1D8N7"
"DB00451"	"P10828"
"DB00451"	"F1D8N7"
"DB00168"	"Q7RTX0"
"DB00323"	"P21964"
"DB00282"	"P14324"
"DB00630"	"P14324"
"DB00884"	"P14324"
"DB00399"	"P14324"
"DB00877"	"P42345"
"DB00338"	"Q658V6"
"DB00338"	"P20648"
"DB01129"	"Q658V6"
"DB01129"	"P20648"
"DB00736"	"Q658V6"
"DB00736"	"P20648"
"DB00213"	"Q658V6"
"DB00213"	"P20648"
"DB00708"	"G8XRH5"
"DB00708"	"P35372"
"DB00899"	"G8XRH5"
"DB00899"	"P35372"
"DB00193"	"G8XRH5"
"DB00193"	"P35372"
"DB00836"	"G8XRH5"
"DB00836"	"P35372"
"DB00802"	"G8XRH5"
"DB00802"	"P35372"
"DB00295"	"G8XRH5"
"DB00295"	"P35372"
"DB00327"	"G8XRH5"
"DB00327"	"P35372"
"DB00854"	"G8XRH5"
"DB00854"	"P35372"
"DB00454"	"G8XRH5"
"DB00454"	"P35372"
"DB01183"	"G8XRH5"
"DB01183"	"P35372"
"DB01209"	"G8XRH5"
"DB01209"	"P35372"
"DB00813"	"G8XRH5"
"DB00813"	"P35372"
"DB00611"	"G8XRH5"
"DB00611"	"P35372"
"DB00921"	"G8XRH5"
"DB00921"	"P35372"
"DB00844"	"G8XRH5"
"DB00844"	"P35372"
"DB00652"	"G8XRH5"
"DB00652"	"P35372"
"DB00318"	"G8XRH5"
"DB00318"	"P35372"
"DB00704"	"G8XRH5"
"DB00704"	"P35372"
"DB00333"	"G8XRH5"
"DB00333"	"P35372"
"DB00504"	"G8XRH5"
"DB00504"	"P35372"
"DB01227"	"G8XRH5"
"DB01227"	"P35372"
"DB00497"	"G8XRH5"
"DB00497"	"P35372"
"DB01551"	"G8XRH5"
"DB01551"	"P35372"
"DB00647"	"G8XRH5"
"DB00647"	"P35372"
"DB01081"	"G8XRH5"
"DB01081"	"P35372"
"DB01535"	"G8XRH5"
"DB01535"	"P35372"
"DB01538"	"G8XRH5"
"DB01538"	"P35372"
"DB01548"	"G8XRH5"
"DB01548"	"P35372"
"DB00875"	"P21728"
"DB00714"	"P21728"
"DB00783"	"Q92731"
"DB00783"	"F1D8N3"
"DB00947"	"Q92731"
"DB00947"	"F1D8N3"
"DB00890"	"Q92731"
"DB00890"	"F1D8N3"
"DB00882"	"Q92731"
"DB00882"	"F1D8N3"
"DB01277"	"P08069"
"DB01171"	"Q49A63"
"DB01171"	"Q53YE7"
"DB01171"	"P21397"
"DB00805"	"Q49A63"
"DB00805"	"Q53YE7"
"DB00805"	"P21397"
"DB01160"	"P43088"
"DB00429"	"P43088"
"DB00287"	"P43088"
"DB00654"	"P43088"
"DB01161"	"Q99250"
"DB00907"	"Q99250"
"DB01161"	"P35499"
"DB00281"	"P35499"
"DB00909"	"P35499"
"DB01303"	"P30542"
"DB00277"	"P30542"
"DB01268"	"P09603"
"DB01268"	"A0A024R0A1"
"DB01268"	"P17948"
"DB00748"	"P35367"
"DB00557"	"P35367"
"DB00737"	"P35367"
"DB00768"	"P35367"
"DB01075"	"P35367"
"DB00972"	"P35367"
"DB01069"	"P35367"
"DB01114"	"P35367"
"DB00950"	"P35367"
"DB00283"	"P35367"
"DB01146"	"P35367"
"DB00341"	"P35367"
"DB00920"	"P35367"
"DB00719"	"P35367"
"DB01246"	"P35367"
"DB01176"	"P35367"
"DB00354"	"P35367"
"DB00792"	"P35367"
"DB00434"	"P35367"
"DB01106"	"P35367"
"DB01084"	"P35367"
"DB00334"	"P35367"
"DB00619"	"P10721"
"DB00619"	"A0A024RDA0"
"DB00398"	"P10721"
"DB00398"	"A0A024RDA0"
"DB01268"	"P10721"
"DB01268"	"A0A024RDA0"
"DB00302"	"P00747"
"DB01240"	"P43119"
"DB00374"	"P43119"
"DB00573"	"P35354"
"DB00586"	"P35354"
"DB01050"	"P35354"
"DB00814"	"P35354"
"DB00465"	"P35354"
"DB00500"	"P35354"
"DB00469"	"P35354"
"DB00328"	"P35354"
"DB00712"	"P35354"
"DB00939"	"P35354"
"DB03585"	"P35354"
"DB00554"	"P35354"
"DB00461"	"P35354"
"DB00812"	"P35354"
"DB00679"	"P14416"
"DB00679"	"A0A024R3C5"
"DB00623"	"P14416"
"DB00623"	"A0A024R3C5"
"DB00420"	"P14416"
"DB00420"	"A0A024R3C5"
"DB01233"	"P14416"
"DB01233"	"A0A024R3C5"
"DB01238"	"P14416"
"DB01238"	"A0A024R3C5"
"DB00268"	"P14416"
"DB00268"	"A0A024R3C5"
"DB00875"	"P14416"
"DB00875"	"A0A024R3C5"
"DB00248"	"P14416"
"DB00248"	"A0A024R3C5"
"DB00831"	"P14416"
"DB00831"	"A0A024R3C5"
"DB00391"	"P14416"
"DB00391"	"A0A024R3C5"
"DB00408"	"P14416"
"DB00408"	"A0A024R3C5"
"DB00508"	"P14416"
"DB00508"	"A0A024R3C5"
"DB01200"	"P14416"
"DB01200"	"A0A024R3C5"
"DB00850"	"P14416"
"DB00850"	"A0A024R3C5"
"DB00433"	"P14416"
"DB00433"	"A0A024R3C5"
"DB00502"	"P14416"
"DB00502"	"A0A024R3C5"
"DB00246"	"P14416"
"DB00246"	"A0A024R3C5"
"DB00714"	"P14416"
"DB00714"	"A0A024R3C5"
"DB01184"	"P14416"
"DB01184"	"A0A024R3C5"
"DB01267"	"P14416"
"DB01267"	"A0A024R3C5"
"DB00413"	"P14416"
"DB00413"	"A0A024R3C5"
"DB01425"	"P14416"
"DB01425"	"A0A024R3C5"
"DB00334"	"P14416"
"DB00334"	"A0A024R3C5"
"DB00477"	"P14416"
"DB00477"	"A0A024R3C5"
"DB00108"	"P13612"
"DB00906"	"P30531"
"DB00906"	"A0A024R2G0"
"DB00232"	"P55017"
"DB01324"	"P55017"
"DB00808"	"P55017"
"DB00310"	"P55017"
"DB00398"	"P15056"
"DB00175"	"P04035"
"DB00175"	"A0A024RAP2"
"DB01098"	"P04035"
"DB01098"	"A0A024RAP2"
"DB00068"	"P17181"
"DB00005"	"P01374"
"DB00005"	"Q5STV3"
"DB01242"	"P23975"
"DB01242"	"A0A024R6T9"
"DB00476"	"P23975"
"DB00476"	"A0A024R6T9"
"DB00289"	"P23975"
"DB00289"	"A0A024R6T9"
"DB00934"	"P23975"
"DB00934"	"A0A024R6T9"
"DB01151"	"P23975"
"DB01151"	"A0A024R6T9"
"DB00104"	"P30874"
"DB00005"	"P01375"
"DB00005"	"C1K3N5"
"DB00005"	"Q5STB3"
"DB00480"	"P01375"
"DB00480"	"C1K3N5"
"DB00480"	"Q5STB3"
"DB00293"	"P04818"
"DB00293"	"Q53Y97"
"DB01101"	"P04818"
