Drug	Disease
6-aminocaproic acid	C0019080
acarbose	C0011860
acebutolol	C0002962
acebutolol	C0020538
acebutolol	C0027051
acebutolol	C0042514
acebutolol	C0042510
acetaminophen	C0015967
acetaminophen	C0030193
acetazolamide	C0002351
acetazolamide	C0017601
acetazolamide	C0036572
acetohexamide	C0011860
acitretin	C0033860
acyclovir	C0162526
acyclovir	C0008049
acyclovir	C0276226
acyclovir	C0149678
acyclovir	C0019342
acyclovir	C0019345
acyclovir	C0019364
adenosine	C0028715
adenosine	C0039232
adenosine	C0039236
adenosine	C0043202
albendazole	C0002831
albendazole	C0009021
albendazole	C0013502
albendazole	C0086227
albendazole	C0017536
albendazole	C0020413
albendazole	C0027528
albendazole	C0338437
albendazole	C0029106
albendazole	C0040553
albendazole	C0040954
albuterol	C0004096
alclometasone	C0011603
alclometasone	C0015456
alclometasone	C0016509
alclometasone	C0018567
alclometasone	C0021368
alclometasone	C0023219
alclometasone	C0036271
alendronate	C0029458
alendronate	C0030186
allopurinol	C0018099
alprostadil	C0003490
alprostadil	C0003492
alprostadil	C0013274
alprostadil	C0020542
alprostadil	C0152101
alprostadil	C0243000
alprostadil	C0034089
alprostadil	C0039685
alprostadil	C0243002
altretamine	C0919267
amantadine	C0013386
amantadine	C0030567
amifostine	C0034531
amikacin	C0005943
amikacin	C0014118
amikacin	C0026918
amikacin	C0033817
amikacin	C0035243
amikacin	C0036690
amiloride	C0003962
amiloride	C0010674
amiloride	C0013604
amiloride	C0020538
amiloride	C0020621
amiloride	C0032617
aminoglutethimide	C1458155
aminoglutethimide	C0010481
aminoglutethimide	C0027661
aminoglutethimide	C0033578
aminophylline	C0003578
aminophylline	C0004096
aminophylline	C0428977
aminophylline	C0006266
aminophylline	C0006277
aminophylline	C0034067
amiodarone	C0039240
amiodarone	C0042510
amitriptyline	C0011581
amitriptyline	C0030193
amlodipine	C0002963
amlodipine	C0020538
amoxapine	C0011581
amoxapine	C0033931
amoxicillin	C0001261
amoxicillin	C0005660
amoxicillin	C0008149
amoxicillin	C0013295
amoxicillin	C0079487
amoxicillin	C0023860
amoxicillin	C0024198
amoxicillin	C0029882
amoxicillin	C0037199
amoxicillin	C0162627
amoxicillin	C0149778
amoxicillin	C0038395
amoxicillin	C0042029
ampicillin	C0001261
ampicillin	C0005660
ampicillin	C1527298
ampicillin	C0014121
ampicillin	C0014836
ampicillin	C0018081
ampicillin	C0018482
ampicillin	C0022729
ampicillin	C0023860
ampicillin	C0085437
ampicillin	C0025303
ampicillin	C0032269
ampicillin	C0032965
ampicillin	C0035243
ampicillin	C0036117
ampicillin	C0162627
ampicillin	C0149778
ampicillin	C0038160
ampicillin	C0038941
ampicillin	C0042029
amprenavir	C0001175
aspirin	C0003873
aspirin	C0015967
aspirin	C0018099
aspirin	C0021368
aspirin	C0029408
aspirin	C0030193
aspirin	C0035436
atenolol	C0002962
atenolol	C0004238
atenolol	C0004239
atenolol	C0018802
atenolol	C0020538
atenolol	C0027051
atenolol	C0039240
atenolol	C0042514
atenolol	C0042510
atovaquone	C0032305
atovaquone	C0085315
atropine	C0428977
atropine	C0013221
atropine	C0018790
atropine	C0037188
atropine	C0038358
atropine	C0042164
azathioprine	C0003873
azathioprine	C0009324
azathioprine	C0010346
azathioprine	C0024141
azathioprine	C0026769
azathioprine	C0043117
azithromycin	C0008149
azithromycin	C0018482
azithromycin	C0026919
azithromycin	C0085396
azithromycin	C0029882
azithromycin	C0032302
azithromycin	C0037278
azithromycin	C0038160
azithromycin	C0038395
azithromycin	C0040425
azithromycin	C0041976
aztreonam	C0017411
aztreonam	C0033817
aztreonam	C0035243
aztreonam	C0036690
aztreonam	C0037278
aztreonam	C0042029
bacitracin	C0009768
bacitracin	C0014358
bacitracin	C0015404
bacitracin	C0162627
bacitracin	C0149778
bacitracin	C0038160
bacitracin	C0038166
bacitracin	C0038395
bacitracin	C0043241
baclofen	C0007789
baclofen	C0019521
baclofen	C0020179
baclofen	C0026769
baclofen	C0026838
baclofen	C0026976
baclofen	C0030200
baclofen	C0037929
baclofen	C0752130
baclofen	C0037930
baclofen	C0038018
baclofen	C0040997
baclofen	C0005697
beclomethasone	C0004096
beclomethasone	C0035457
bendroflumethiazide	C0013604
bendroflumethiazide	C0018802
bendroflumethiazide	C0020538
bendroflumethiazide	C0027726
benzocaine	C0006434
benzocaine	C0013456
benzocaine	C0016167
benzocaine	C0019112
benzocaine	C0019348
benzocaine	C0027497
benzocaine	C0149745
benzocaine	C0029878
benzocaine	C0029882
benzocaine	C0033774
benzocaine	C0040460
benzocaine	C0042963
benztropine	C0000771
benztropine	C0030567
bepridil	C0002962
bepridil	C0020538
betamethasone	C0011615
betamethasone	C0036508
betamethasone	C0015456
betamethasone	C0016509
betamethasone	C0018567
betamethasone	C0021368
betamethasone	C0023219
betamethasone	C0033775
betamethasone	C0033860
betamethasone	C0036271
betaxolol	C0017612
betaxolol	C0020538
bethanechol	C0000771
bethanechol	C0017168
bethanechol	C0005697
bethanechol	C0080274
biperiden	C0013221
biperiden	C0030567
bisoprolol	C0002962
bisoprolol	C0018802
bisoprolol	C0020538
bisoprolol	C0027051
bisoprolol	C0039240
bleomycin	C0007137
bleomycin	C0019829
bleomycin	C0024305
bleomycin	C0025202
bleomycin	C1261473
bleomycin	C0039590
bromocriptine	C0001206
bromocriptine	C0002453
bromocriptine	C0020514
bromocriptine	C0020619
bromocriptine	C0021359
bromocriptine	C0027849
bromocriptine	C0030567
brompheniramine	C0035457
brompheniramine	C0035460
budesonide	C0004096
budesonide	C0035457
bumetanide	C0003962
bumetanide	C0013604
bumetanide	C0018802
bumetanide	C0020538
bumetanide	C0022660
bumetanide	C0022661
bumetanide	C0023890
bumetanide	C0027726
bumetanide	C0034063
bupivacaine	C0030193
bupropion	C1263846
bupropion	C0011581
bupropion	C0040336
buspirone	C0003469
buspirone	C0011581
buspirone	C0025362
busulfan	C0023473
busulfan	C0032463
busulfan	C0001815
caffeine	C0003578
capreomycin	C0041296
captopril	C0003873
captopril	C0004775
captopril	C0011881
captopril	C0013604
captopril	C0018802
captopril	C0020540
captopril	C0034734
captopril	C0242698
carbachol	C0017601
carbamazepine	C0005586
carbamazepine	C0085417
carbamazepine	C0014549
carbamazepine	C0033975
carbamazepine	C0035258
carbamazepine	C0036341
carbamazepine	C0038436
carbamazepine	C0038587
carbamazepine	C0040997
carbenicillin	C0085423
carbenicillin	C0033581
carbenicillin	C0042029
carbidopa	C0030567
carboplatin	C0005956
carboplatin	C1458155
carboplatin	C0085136
carboplatin	C0014170
carboplatin	C0014859
carboplatin	C0024121
carboplatin	C0027658
carboplatin	C0029463
carboplatin	C0919267
carboplatin	C0005695
carmustine	C0006118
carmustine	C0007097
carmustine	C0009375
carmustine	C0014474
carmustine	C0017636
carmustine	C0019829
carmustine	C0024121
carmustine	C0024305
carmustine	C0025149
carmustine	C0025202
carmustine	C0026764
carnitine	C0028715
carteolol	C0017612
carteolol	C0020538
cefaclor	C0005943
cefaclor	C0006277
cefaclor	C0014836
cefaclor	C0018482
cefaclor	C0022729
cefaclor	C0029882
cefaclor	C0031350
cefaclor	C0004626
cefaclor	C0033700
cefaclor	C0162627
cefaclor	C0149778
cefaclor	C0038160
cefaclor	C0038395
cefaclor	C0042029
cefadroxil	C0014836
cefadroxil	C0021099
cefadroxil	C0022729
cefadroxil	C0031350
cefadroxil	C0033700
cefadroxil	C0149778
cefadroxil	C0042029
cefamandole	C0005943
cefamandole	C0014836
cefamandole	C0018482
cefamandole	C0022729
cefamandole	C0004626
cefamandole	C0033700
cefamandole	C0162627
cefamandole	C0149778
cefamandole	C0038160
cefamandole	C0038395
cefamandole	C0042029
cefazolin	C0005660
cefazolin	C0014121
cefazolin	C0014836
cefazolin	C0022729
cefazolin	C0004626
cefazolin	C0033700
cefazolin	C0162627
cefazolin	C0149778
cefazolin	C0038160
cefazolin	C0038395
cefazolin	C0042029
cefixime	C0006277
cefixime	C0014836
cefixime	C0018081
cefixime	C0018482
cefixime	C0022729
cefixime	C0029882
cefixime	C0004626
cefixime	C0033700
cefixime	C0162627
cefixime	C0149778
cefixime	C0038160
cefixime	C0038395
cefixime	C0042029
cefoperazone	C0005943
cefoperazone	C0014836
cefoperazone	C0017411
cefoperazone	C0018482
cefoperazone	C0022729
cefoperazone	C0004626
cefoperazone	C0033700
cefoperazone	C0033817
cefoperazone	C0036117
cefoperazone	C0085394
cefoperazone	C0162627
cefoperazone	C0149778
cefoperazone	C0038160
cefoperazone	C0038395
cefoperazone	C0042029
cefotaxime	C0001139
cefotaxime	C0005943
cefotaxime	C0014836
cefotaxime	C0018081
cefotaxime	C0018482
cefotaxime	C0022729
cefotaxime	C0085437
cefotaxime	C0031154
cefotaxime	C0004626
cefotaxime	C0033700
cefotaxime	C0036117
cefotaxime	C0243026
cefotaxime	C0085394
cefotaxime	C0162627
cefotaxime	C0149778
cefotaxime	C0038160
cefotaxime	C0038395
cefotaxime	C0042029
cefotetan	C0000833
cefotetan	C0004669
cefotetan	C0005660
cefotetan	C0005943
cefotetan	C0014836
cefotetan	C0017411
cefotetan	C0018482
cefotetan	C0022729
cefotetan	C0031154
cefotetan	C0032965
cefotetan	C0033700
cefotetan	C0035243
cefotetan	C0036690
cefotetan	C0162627
cefotetan	C0149778
cefotetan	C0038160
cefotetan	C0038395
cefotetan	C0038941
cefotetan	C0042029
cefoxitin	C0000833
cefoxitin	C0004669
cefoxitin	C0005943
cefoxitin	C0014836
cefoxitin	C0017411
cefoxitin	C0018482
cefoxitin	C0022729
cefoxitin	C0031154
cefoxitin	C0032965
cefoxitin	C0033700
cefoxitin	C0035243
cefoxitin	C0036690
cefoxitin	C0162627
cefoxitin	C0149778
cefoxitin	C0038160
cefoxitin	C0038395
cefoxitin	C0038941
cefoxitin	C0042029
ceftazidime	C0001139
ceftazidime	C0005943
ceftazidime	C0014836
ceftazidime	C0015967
ceftazidime	C0018482
ceftazidime	C0022729
