"umlsid"	"parent_id"
"C0003962"	"meddra:10003445"
"C0003962"	"meddra:10034653"
"C0003962"	"meddra:10019709"
"C0003962"	"meddra:10019283"
"C0003962"	"meddra:10019280"
"C0003962"	"meddra:10019654"
"C0003962"	"meddra:10034652"
"C0003962"	"meddra:10017947"
"C0003962"	"meddra:10019805"
"C0003962"	"meddra:10007541"
"C0014356"	"meddra:10014893"
"C0014356"	"meddra:10017921"
"C0014356"	"meddra:10017969"
"C0014356"	"meddra:10017947"
"C0014852"	"meddra:10015379"
"C0014852"	"meddra:10061318"
"C0014852"	"meddra:10030168"
"C0014852"	"meddra:10017943"
"C0014852"	"meddra:10017947"
"C0014852"	"meddra:10013121"
"C0014852"	"meddra:10013128"
"C0014852"	"meddra:10015380"
"C0014852"	"meddra:10030165"
"C0014852"	"meddra:10030166"
"C0014852"	"meddra:10045781"
"C0014852"	"meddra:10045815"
"C0014863"	"meddra:10030184"
"C0014863"	"meddra:10018006"
"C0014863"	"meddra:10017977"
"C0014863"	"meddra:10017947"
"C0014863"	"meddra:10015390"
"C0014863"	"meddra:10015469"
"C0014863"	"meddra:10030225"
"C0014863"	"meddra:10041383"
"C0014863"	"meddra:10056087"
"C0016470"	"meddra:10016946"
"C0016470"	"meddra:10001737"
"C0016470"	"meddra:10001708"
"C0016470"	"meddra:10021428"
"C0019151"	"meddra:10019660"
"C0019151"	"meddra:10019664"
"C0019151"	"meddra:10014624"
"C0019151"	"meddra:10014623"
"C0019151"	"meddra:10019654"
"C0019151"	"meddra:10019805"
"C0019151"	"meddra:10029205"
"C0019151"	"meddra:10014630"
"C0019156"	"meddra:10047216"
"C0019156"	"meddra:10019712"
"C0019156"	"meddra:10019632"
"C0019156"	"meddra:10003216"
"C0019156"	"meddra:10019654"
"C0019156"	"meddra:10019805"
"C0019156"	"meddra:10047065"
"C0019156"	"meddra:10047217"
"C0019156"	"meddra:10063675"
"C0022876"	"meddra:10023545"
"C0022876"	"meddra:10023555"
"C0022876"	"meddra:10036599"
"C0022876"	"meddra:10036600"
"C0022876"	"meddra:10000192"
"C0022876"	"meddra:10026906"
"C0022876"	"meddra:10036585"
"C0022951"	"meddra:10023681"
"C0022951"	"meddra:10042454"
"C0022951"	"meddra:10025480"
"C0022951"	"meddra:10025477"
"C0022951"	"meddra:10016950"
"C0022951"	"meddra:10027433"
"C0022951"	"meddra:10017947"
"C0023890"	"meddra:10019641"
"C0023890"	"meddra:10019669"
"C0023890"	"meddra:10019654"
"C0023890"	"meddra:10019805"
"C0023890"	"meddra:10024667"
"C0023890"	"meddra:10009213"
"C0023890"	"meddra:10019642"
"C0023890"	"meddra:10009211"
"C0028840"	"meddra:10030043"
"C0028840"	"meddra:10018305"
"C0028840"	"meddra:10018307"
"C0028840"	"meddra:10015919"
"C0028840"	"meddra:10020784"
"C0035460"	"meddra:10047145"
"C0035460"	"meddra:10028736"
"C0035460"	"meddra:10046304"
"C0035460"	"meddra:10038738"
"C0003962"	"ndfrt:N0000000490"
"C0003962"	"ndfrt:N0000002338"
"C0003962"	"ndfrt:N0000002872"
"C0003962"	"ndfrt:N0000000004"
"C0014356"	"ndfrt:N0000001109"
"C0014356"	"ndfrt:N0000001317"
"C0014356"	"ndfrt:N0000001320"
"C0014356"	"ndfrt:N0000000973"
"C0014356"	"ndfrt:N0000000004"
"C0014852"	"ndfrt:N0000001159"
"C0014852"	"ndfrt:N0000001320"
"C0014852"	"ndfrt:N0000000973"
"C0014852"	"ndfrt:N0000000004"
"C0014863"	"ndfrt:N0000003190"
"C0014863"	"ndfrt:N0000003189"
"C0014863"	"ndfrt:N0000000910"
"C0014863"	"ndfrt:N0000001159"
"C0014863"	"ndfrt:N0000001320"
"C0014863"	"ndfrt:N0000000973"
"C0014863"	"ndfrt:N0000000004"
"C0016470"	"ndfrt:N0000001270"
"C0016470"	"ndfrt:N0000001612"
"C0016470"	"ndfrt:N0000001610"
"C0016470"	"ndfrt:N0000001668"
"C0016470"	"ndfrt:N0000000004"
"C0019151"	"ndfrt:N0000001496"
"C0019151"	"ndfrt:N0000000606"
"C0019151"	"ndfrt:N0000000605"
"C0019151"	"ndfrt:N0000000709"
"C0019151"	"ndfrt:N0000002159"
"C0019151"	"ndfrt:N0000000004"
"C0019156"	"ndfrt:N0000001498"
"C0019156"	"ndfrt:N0000001866"
"C0019156"	"ndfrt:N0000000973"
"C0019156"	"ndfrt:N0000000004"
"C0022876"	"ndfrt:N0000171646"
"C0022876"	"ndfrt:N0000171645"
"C0022876"	"ndfrt:N0000002478"
"C0022876"	"ndfrt:N0000001224"
"C0022876"	"ndfrt:N0000000004"
"C0022951"	"ndfrt:N0000001777"
"C0022951"	"ndfrt:N0000000658"
"C0022951"	"ndfrt:N0000002005"
"C0022951"	"ndfrt:N0000011105"
"C0022951"	"ndfrt:N0000002121"
"C0022951"	"ndfrt:N0000000004"
"C0023890"	"ndfrt:N0000001862"
"C0023890"	"ndfrt:N0000001866"
"C0023890"	"ndfrt:N0000000973"
"C0023890"	"ndfrt:N0000000004"
"C0028840"	"ndfrt:N0000002207"
"C0028840"	"ndfrt:N0000001181"
"C0028840"	"ndfrt:N0000000004"
"C0035460"	"ndfrt:N0000002637"
"C0035460"	"ndfrt:N0000002634"
"C0035460"	"ndfrt:N0000002194"
"C0035460"	"ndfrt:N0000002269"
"C0035460"	"ndfrt:N0000000004"
"C0036983"	"meddra:10040070"
"C0036983"	"meddra:10040054"
"C0036983"	"meddra:10009193"
"C0036983"	"meddra:10011954"
"C0036983"	"meddra:10021879"
"C0036983"	"meddra:10021881"
"C0036983"	"meddra:10047065"
"C0036983"	"meddra:10040580"
"C0149725"	"meddra:10024968"
"C0149725"	"meddra:10025101"
"C0149725"	"meddra:10024971"
"C0149725"	"meddra:10024970"
"C0149725"	"meddra:10021879"
