Drug	Disease
DB06768	C0085074
DB00013	C0042487
DB01620	C0242429
DB00564	C0234974
DB01380	C2937222
DB01393	C0020443
DB02703	C0041473
DB00542	C0018802
DB00741	C0036830
DB00931	C0152516
DB09555	C2607914
DB01142	C0917801
DB01167	C0276653
DB01607	C0035243
DB01140	C1318973
DB00355	C0276088
DB00988	C0581377
DB00351	C0014170
DB00328	C0030193
DB00851	C0035412
DB00774	C0018802
DB01114	C0027424
DB07615	C2607914
DB00766	C0577708
DB00557	C0042963
DB00788	C0038013
DB00035	C0042974
DB01076	C0342881
DB00531	C0024121
DB00661	C0002962
DB01209	C0030193
DB09481	C0030920
DB00069	C2239176
DB01330	C0042029
DB00985	C0027498
DB01058	C0010678
DB00860	C0013604
DB00571	C0039240
DB09345	C0152030
DB04574	C0085215
DB01010	C0013221
DB00584	C0018802
DB00595	C0039128
DB09303	C0342881
DB01234	C1527311
DB00547	C0036271
DB00900	C0001175
DB00396	C0002453
DB00924	C0026821
DB00873	C0009774
DB00860	C0701163
DB00537	C0004626
DB00774	C0027726
DB00305	C0009404
DB01086	C0029882
DB01098	C0020557
DB00825	C0030193
DB01130	C0018567
DB00388	C0018621
DB00375	C0020476
DB01059	C0014836
DB01413	C0022729
DB00400	C0040252
DB01060	C0729586
DB01580	C0003467
DB04398	C0015456
DB00644	C0002453
DB00531	C0043092
DB00434	C0027577
DB00607	C0043241
DB00783	C0001144
DB01073	C0023434
DB00560	C0276026
DB00328	C0039520
DB00265	C0033774
DB00518	C0040553
DB00967	C2607914
DB01228	C0151636
DB00531	C0919267
DB09320	C1318973
DB01328	C0684256
DB00596	C0085074
DB06707	C0040460
DB00290	C1272826
DB01415	C0275804
DB00031	C0010072
DB01017	C0031350
DB00199	C0729586
DB01060	C0014836
DB00595	C0018190
DB01210	C0028840
DB00890	C1384606
DB01175	C0270549
DB09324	C0242172
DB00591	C0015230
DB00959	C0018939
DB11569	C0406317
DB00233	C0002963
DB00476	C0038437
DB00576	C0271429
DB00976	C0276026
DB01211	C0155804
DB01044	C0014836
DB00916	C0000833
DB01181	C0039590
DB00030	C0011860
DB00319	C0037278
DB01013	C0011616
DB00537	C0014347
DB00967	C1260880
DB04868	C0023474
DB01060	C0276026
DB01044	C0034186
DB00507	C0010418
DB01332	C0032285
DB06774	C0857177
DB00916	C0854328
DB00596	C0406326
DB00479	C0456103
DB09034	C0917801
DB00420	C0338873
DB00541	C0006413
DB00846	C0079773
DB00860	C0729587
DB06016	C0236780
DB00580	C0003873
DB00048	C0410065
DB01114	C0009766
DB01079	C0009806
DB00641	C0473527
DB09102	C0524910
DB00370	C0011581
DB00766	C2887096
DB00653	C0151723
DB01127	C0040252
DB01109	C0002965
DB00618	C0037199
DB01330	C0017411
DB00576	C0520775
DB00537	C0155860
DB06168	C0031069
DB00384	C0013604
DB01151	C0030193
DB01234	C0729587
DB01206	C0019829
DB09083	C0264716
DB00521	C0028840
DB00697	C0026821
DB00727	C0021890
DB01165	C0021355
DB01190	C1997728
DB01083	C0028754
DB01619	C0033774
DB01327	C0014836
DB00415	C0036117
DB01234	C0035854
DB06151	C0032285
DB01200	C0030568
DB00959	C0006444
DB09469	C0009806
DB00860	C0035435
DB00290	C0278996
DB00520	C0239295
DB01076	C0020479
DB01066	C1318973
DB00683	C0038220
DB00741	C0423234
DB01060	C0178299
DB01607	C0276026
DB00775	C0542269
DB03255	C0235339
DB00205	C0024535
DB00669	C0009088
DB00758	C0948089
DB00741	C0001623
DB00741	C0016509
DB00140	C1510471
DB01432	C0020443
DB00761	C0426639
DB00691	C0018802
DB00069	C0010403
DB00643	C0002831
DB01212	C0014534
DB01235	C0030568
DB00927	C0013395
DB01212	C0152486
DB08934	C0524910
DB01380	C0854211
DB00572	C0013221
DB01416	C0577709
DB01112	C0275665
DB00363	C0033975
DB00561	C0235063
DB00668	C0036983
DB02703	C2887096
DB01165	C0149778
DB01069	C0030193
DB01057	C0271093
DB00618	C0153196
DB01352	C0917801
DB00227	C0020474
DB00244	C0033246
DB00872	C0020625
DB00709	C0001175
DB00477	C0744896
DB00443	C0002880
DB00547	C0021368
DB01026	C0008582
DB01234	C0079773
DB01380	C0019112
DB08819	C0028840
DB00069	C0040028
DB01176	C2607914
DB00835	C1260880
DB09323	C0036285
DB00493	C2887088
DB01328	C0554628
DB00136	C0035579
DB00620	C0015397
DB00352	C0033860
DB02703	C0037199
DB00741	C0029878
DB01053	C0275566
DB00954	C0032302
DB00252	C0014544
DB01234	C1275687
DB01053	C0153216
DB01059	C0520777
DB02703	C0276089
DB00281	C0032768
DB00421	C0018802
DB09050	C1112209
DB00959	C0018621
DB01285	C0037769
DB01211	C0038395
DB01140	C0040425
DB00605	C0003873
DB01242	C0030193
DB01044	C0275652
DB00537	C0022729
DB00959	C0027651
DB06210	C0272293
DB00852	C0035457
DB01413	C0520775
DB00591	C0033777
DB00424	C0005697
DB09085	C0152030
DB01192	C0278140
DB00397	C0009443
DB00858	C0010043
DB00764	C2607914
DB01139	C0152965
DB00908	C2316460
DB09353	C0175167
DB01332	C1260917
DB00550	C0018021
DB00493	C1112209
DB00775	C0010068
DB01173	C0026821
DB00188	C0334634
DB01356	C0015967
DB01059	C2242472
DB00338	C0079487
DB00531	C0014170
DB01411	C0004096
DB09154	C0009443
DB00104	C0001430
DB00618	C0275665
DB00827	C0042029
DB01234	C1320547
DB00714	C0030567
DB00655	C0025323
DB01234	C0022081
DB00400	C2349994
DB00388	C0037383
DB00842	C0003469
DB04572	C0005684
DB01212	C0153195
DB00759	C0034362
DB00537	C1096258
DB00770	C0243000
DB03904	C0079153
DB01099	C0006840
DB00059	C0023449
DB00749	C0029408
DB03904	C0036508
DB01149	C0038436
DB00946	C0040038
DB00713	C0085437
DB01165	C0014534
DB00415	C0856695
DB01380	C0042164
DB00446	C0006060
DB01369	C0554628
DB00816	C0347950
DB00288	C0406326
DB00152	C0042847
DB00285	C0015674
DB00521	C0017612
DB00825	C0857177
DB00999	C0018802
DB00283	C0035457
DB01113	C0007786
DB00652	C0030193
DB00741	C0149922
DB00718	C0524909
DB01113	C0003838
DB01328	C0276089
DB00514	C0242429
DB01053	C0343500
DB00760	C0042029
DB01060	C0162627
DB00443	C0006114
DB00335	C0004238
DB00704	C0267511
DB00633	C0085631
DB08906	C2607914
DB00215	C0270549
DB00645	C0152030
DB01211	C0339959
DB00112	C0278678
DB00179	C0022602
DB01380	C0001627
DB01333	C0178299
DB00531	C0026896
DB01062	C0403643
DB01053	C0343833
DB01234	C0035439
DB00949	C0238111
DB00685	C0339932
DB00363	C3544321
DB00860	C0033775
DB01225	C0040046
DB00620	C0019829
DB02701	C0085096
DB07615	C0162810
DB00668	C0006266
DB00750	C0030193
DB00876	C0020538
DB00207	C0857831
DB00336	C0577708
DB01380	C0395818
DB01620	C0009766
DB01219	C0026769
DB00836	C0009374
DB00531	C0027726
DB00069	C0006118
DB01230	C1263846
DB00318	C1260880
DB00355	C0276089
DB01061	C0343402
DB00595	C0026936
DB01598	C0042029
DB01364	C0392171
DB00199	C0275556
DB01068	C0005586
DB00069	C0037299
DB08870	C1275317
DB00590	C0080274
DB01009	C0013390
DB00218	C0524688
DB00567	C0149778
DB01104	C0520676
DB01331	C0035243
DB09570	C0026764
DB00429	C0032797
DB00199	C0271429
DB00443	C0011615
DB00115	C0042847
DB09096	C0001144
DB00734	C0005586
DB01167	C0019655
DB01082	C0014121
DB00661	C0002963
DB01129	C0027662
DB00336	C0749958
DB00760	C0004669
DB09543	C0004604
DB00417	C1318973
DB00590	C2937421
DB01099	C0162526
DB00833	C1318973
DB00199	C0018081
DB00537	C0010692
DB01333	C1318973
DB00443	C0154301
DB00994	C0042029
DB00438	C0038395
DB00479	C0032308
DB00721	C0038587
DB01190	C0157749
DB01223	C0024115
DB01607	C1318973
DB02703	C0339293
DB00537	C1260917
DB08932	C2973725
DB01254	C0023472
DB01606	C0178299
DB01050	C0030201
DB06723	C0030920
DB00237	C0917801
DB00023	C1961102
DB00541	C0027819
DB06715	C0010200
DB00275	C0242698
DB08816	C0948089
DB00741	C0026857
DB01592	C0032964
DB00291	C0039590
DB01328	C0032285
DB00178	C0264716
DB00415	C0030528
DB01128	C0033578
DB08902	C0155866
DB00420	C0162565
DB09320	C0271429
DB01037	C1263846
DB01053	C0001261
DB01162	C2937421
DB00421	C0264716
DB00563	C0242379
DB02721	C0024305
DB00290	C0007137
DB00621	C0013911
DB00493	C0339968
DB00535	C0040425
DB00651	C0034067
DB00635	C0349790
DB01148	C0042024
DB00959	C0037274
DB00502	C0036341
DB08870	C0019829
DB00475	C0003467
DB00300	C0019693
DB00781	C0854211
DB01015	C0013371
DB00829	C0001957
DB01620	C0392171
DB00559	C2973725
