DO_ID,DB_ID,Label_ID,Contraindication,Effect,IDK,Indication: Symptomatic Relief,Indication: Treatment,worker_answers,inter_agree_workers,relation,Section,Set_ID,Drug_Brand_Name,UNII_ID,Context,WordCount,Drug_name,Unnamed: 0,disease,Annotation
DOID_0050214,DB00536,dfbcb78d-0758-4f15-9d9c-f4048b691d9d.xml,0.07142857142857142,0.0,0.0,0.8928571428571429,0.03571428571428571,28.0,0.8928571428571429,Indication: Symptomatic Relief,Indications,903fbd33-e5d9-41fb-9414-7bd6f42a8593,Guanidine hydrochloride,JU58VJ6Y3B,"Guanidine is indicated for the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis. The Eaton-Lambert syndrome is ordinarily differentiated from myasthenia gravis by the usual association of the syndrome with small cell carcinoma of the lung, but myography may be necessary to make the diagnosis.",62.0,Guanidine,,,
DOID_437,DB00536,dfbcb78d-0758-4f15-9d9c-f4048b691d9d.xml,1.0,0.0,0.0,0.0,0.0,3.0,1.0,Contraindication,Indications,903fbd33-e5d9-41fb-9414-7bd6f42a8593,Guanidine hydrochloride,JU58VJ6Y3B,"Guanidine is indicated for the reduction of the symptoms of muscle weakness and easy fatigability associated with the myasthenic syndrome of Eaton-Lambert. It is not indicated for treating myasthenia gravis. The Eaton-Lambert syndrome is ordinarily differentiated from myasthenia gravis by the usual association of the syndrome with small cell carcinoma of the lung, but myography may be necessary to make the diagnosis.",62.0,Guanidine,,,
DOID_0050425,DB00268,88db5bac-73c7-4b4f-a207-8f895223d778.xml,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,Indication: Treatment,Indications,b8fbd5b8-8797-4b95-b9a6-40a28a76805d,Ropinirole Hydrochloride,030PYR8953,"
Parkinson's Disease
Ropinirole Hydrochloride Tablets are indicated for the treatment of the signs and symptoms of idiopathic Parkinson's disease.
The effectiveness of Ropinirole Hydrochloride Tablets were demonstrated in randomized, controlled trials in patients with early Parkinson's disease who were not receiving concomitant L-dopa therapy as well as in patients with advanced disease on concomitant L-dopa (see 
CLINICAL PHARMACOLOGY: Clinical Trials
 
 
Restless Legs Syndrome
Ropinirole Hydrochloride Tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS).
Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations; symptoms begin or worsen during periods of rest or inactivity such as lying or sitting; symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues; and symptoms are worse or occur only in the evening or night. Difficulty falling asleep may frequently be associated with moderate-to-severe RLS.",158.0,Ropinirole,,,
DOID_0050425,DB00413,b5504316-3907-444c-b604-ec9a18cdcd6d.xml,0.0,0.0,0.0,0.0,1.0,3.0,1.0,Indication: Treatment,Indications,b5504316-3907-444c-b604-ec9a18cdcd6d,Mirapex,83619PEU5T,"Mirapex(r) (pramipexole dihydrochloride) tablets are indicated for the treatment of the signs and symptoms of idiopathic Parkinson's disease. 
The effectiveness of MIRAPEX tablets was demonstrated in randomized, controlled trials in patients with early Parkinson's disease who were not receiving concomitant levodopa therapy as well as in patients with advanced disease on concomitant levodopa (see 
 
 
CLINICAL STUDIES
MIRAPEX tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS). 
Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations; symptoms begin or worsen during periods of rest or inactivity such as lying or sitting; symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues; and symptoms are worse or occur only in the evening or night. Difficulty falling asleep may frequently be associated with symptoms of RLS.",151.0,Pramipexole,,,
DOID_14330,DB00413,b5504316-3907-444c-b604-ec9a18cdcd6d.xml,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3.0,0.6666666666666666,Indication: Treatment,Indications,b5504316-3907-444c-b604-ec9a18cdcd6d,Mirapex,83619PEU5T,"Mirapex(r) (pramipexole dihydrochloride) tablets are indicated for the treatment of the signs and symptoms of idiopathic Parkinson's disease. 
The effectiveness of MIRAPEX tablets was demonstrated in randomized, controlled trials in patients with early Parkinson's disease who were not receiving concomitant levodopa therapy as well as in patients with advanced disease on concomitant levodopa (see 
 
 
CLINICAL STUDIES
MIRAPEX tablets are indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome (RLS). 
Key diagnostic criteria for RLS are: an urge to move the legs usually accompanied or caused by uncomfortable and unpleasant leg sensations; symptoms begin or worsen during periods of rest or inactivity such as lying or sitting; symptoms are partially or totally relieved by movement such as walking or stretching at least as long as the activity continues; and symptoms are worse or occur only in the evening or night. Difficulty falling asleep may frequently be associated with symptoms of RLS.",151.0,Pramipexole,,,
DOID_0050425,DB05271,a6964835-dc96-4b22-8b64-464a42f6cdf2.xml,0.0,0.0,0.0,0.0,1.0,3.0,1.0,Indication: Treatment,Indications,939e28c5-f3a9-42c0-9a2d-8d471d82a6e0,Neupro,87T4T8BO2E,"NEUPRO is a dopamine agonist indicated for the treatment of:
 
Parkinson's disease (
1.1
Moderate-to-severe primary Restless Legs Syndrome (
1.2
NEUPRO is indicated for the treatment of Parkinson's disease.
NEUPRO is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome.",42.0,Rotigotine,,,
DOID_14330,DB05271,a6964835-dc96-4b22-8b64-464a42f6cdf2.xml,0.0,0.0,0.0,0.0,1.0,3.0,1.0,Indication: Treatment,Indications,939e28c5-f3a9-42c0-9a2d-8d471d82a6e0,Neupro,87T4T8BO2E,"NEUPRO is a dopamine agonist indicated for the treatment of:
 
Parkinson's disease (
1.1
Moderate-to-severe primary Restless Legs Syndrome (
1.2
NEUPRO is indicated for the treatment of Parkinson's disease.
NEUPRO is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome.",42.0,Rotigotine,,,
DOID_0050452,DB06168,110863fe-9a07-49e2-85ea-f0442fc0eb41.xml,0.0,0.0,0.0,0.0,1.0,3.0,1.0,Indication: Treatment,Indications,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,Ilaris,37CQ2C7X93,"ILARIS is an interleukin-1b blocker indicated for the treatment of:
 
Periodic Fever Syndromes:
 
 
Cryopyrin-Associated Periodi
c
 Syndromes (CAPS)
 
Familial Cold Autoinflammatory Syndrome (FCAS) (
1.1
Muckle-Wells Syndrome (MWS) (
1.1
 
Tumor Necrosis Factor Receptor Associated Periodic Syndrome (TRAPS) 
1.1
 
Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)
1.1
 
Familial Mediterranean Fever (FMF)
1.1
 
Active 
Systemic Juvenile Idiopathic Arthritis (SJIA) 
1.2
 
ILARIS
(r)
 
Cryopyrin-Associated Periodic Syndromes (CAPS)
ILARIS is indicated for the treatment of Cryopyrin-Associated Periodic Syndromes (CAPS), in adults and children 4 years of age and older including:
 
Familial Cold Autoinflammatory Syndrome (FCAS)
 
Muckle-Wells Syndrome (MWS)
 
 
Tumor Necrosis Factor Receptor (TNF) Associated Periodic Syndrome (TRAPS)
 
ILARIS is indicated for the treatment of Tumor Necrosis Factor (TNF) receptor Associated Periodic Syndrome (TRAPS) in adult and pediatric patients.
 
 
Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)
 
ILARIS is indicated for the treatment of Hyperimmunoglobulin D (Hyper-IgD) Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD) in adult and pediatric patients.
 
 
Familial Mediterranean Fever (FMF)
 
ILARIS is indicated for the treatment of Familial Mediterranean Fever (FMF) in adult and pediatric patients.
ILARIS is indicated for the treatment of active Systemic Juvenile Idiopathic Arthritis (SJIA) in patients aged 2 years and older.",192.0,Canakinumab,,,
DOID_2987,DB06168,110863fe-9a07-49e2-85ea-f0442fc0eb41.xml,0.0,0.0,0.0,0.0,1.0,3.0,1.0,Indication: Treatment,Indications,7d271f3b-e4f9-4d80-8dcf-28d49123f80e,Ilaris,37CQ2C7X93,"ILARIS is an interleukin-1b blocker indicated for the treatment of:
 
Periodic Fever Syndromes:
 
 
Cryopyrin-Associated Periodi
c
 Syndromes (CAPS)
 
Familial Cold Autoinflammatory Syndrome (FCAS) (
1.1
Muckle-Wells Syndrome (MWS) (
1.1
 
Tumor Necrosis Factor Receptor Associated Periodic Syndrome (TRAPS) 
1.1
 
Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)
1.1
 
Familial Mediterranean Fever (FMF)
1.1
 
Active 
Systemic Juvenile Idiopathic Arthritis (SJIA) 
1.2
 
ILARIS
(r)
 
Cryopyrin-Associated Periodic Syndromes (CAPS)
ILARIS is indicated for the treatment of Cryopyrin-Associated Periodic Syndromes (CAPS), in adults and children 4 years of age and older including:
 
Familial Cold Autoinflammatory Syndrome (FCAS)
 
Muckle-Wells Syndrome (MWS)
 
 
Tumor Necrosis Factor Receptor (TNF) Associated Periodic Syndrome (TRAPS)
 
ILARIS is indicated for the treatment of Tumor Necrosis Factor (TNF) receptor Associated Periodic Syndrome (TRAPS) in adult and pediatric patients.
 
 
Hyperimmunoglobulin D Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD)
 
ILARIS is indicated for the treatment of Hyperimmunoglobulin D (Hyper-IgD) Syndrome (HIDS)/Mevalonate Kinase Deficiency (MKD) in adult and pediatric patients.
 
 
Familial Mediterranean Fever (FMF)
 
ILARIS is indicated for the treatment of Familial Mediterranean Fever (FMF) in adult and pediatric patients.
ILARIS is indicated for the treatment of active Systemic Juvenile Idiopathic Arthritis (SJIA) in patients aged 2 years and older.",192.0,Canakinumab,,,
DOID_0050486,DB00268,562758e3-f835-43ea-9f35-651b3d37596d.xml,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,3.0,0.6666666666666666,Indication: Symptomatic Relief,Contraindications,fb0fae45-f54f-4c68-ac72-9396d9874ca4,Ropinirole,030PYR8953,"Ropinirole extended-release tablets are contraindicated in patients known to have a hypersensitivity/allergic reaction including urticaria, angioedema, rash, pruritus) to ropinirole or any of the excipients.
History of hypersensitivity/ allergic reaction (including urticaria, angioedema, rash, pruritus) to ropinirole or to any of the excipients (4)",44.0,Ropinirole,,,
