#,context,disease_name,drug_name,workers_answers,medical_expert1,medical_expert2,medical_expert3,do_id,drug_brand_name,drug_id,label_id,sheet,expert_consensus,inter_agree_experts,medical_expert4,"Final 
(closest option)"
1.0,Nisoldipine extended-release tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive agents.,HYPERTENSION,NISOLDIPINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00401,ce733b39-7857-4538-92d6-1c68a4e4eb75.xml,Indication_treatment,Indication: Treatment,3,,
2.0,"[None, 'Bisoprolol fumarate tablets, USP are indicated in the management of hypertension. They may be used alone or in combination with other antihypertensive agents.']",HYPERTENSION,BISOPROLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00612,c818c38d-ee37-4ceb-b078-611483b4f743.xml,Indication_treatment,Indication: Treatment,3,,
3.0,"Pindolol tablets are indicated in the management of hypertension. It may be used alone or concomitantly with other antihypertensive agents, particularly with a thiazide-type diuretic.",HYPERTENSION,PINDOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00960,d4078b63-30ad-435b-a081-4d90562962b5.xml,Indication_treatment,Indication: Treatment,3,,
4.0,Eprosartan mesylate tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensives such as diuretics and calcium channel blockers.,HYPERTENSION,EPROSARTAN,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00876,ab531d28-345b-4113-9fde-00cd63ad5b1a.xml,Indication_treatment,Indication: Treatment,3,,
5.0,"[None, 'Labetalol hydrochloride tablets, USP are indicated in the management of hypertension. Labetalol hydrochloride tablets, USP may be used alone or in combination with other antihypertensive agents, especially thiazide and loop diuretics.']",HYPERTENSION,LABETALOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00598,78765cc3-27dc-0373-e053-2991aa0a7fe1.xml,Indication_treatment,Indication: Treatment,3,,
7.0,"
                     
Hypertension
Timolol maleate tablets are indicated for the treatment of hypertension. They may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics.

                     
Myocardial Infarction
Timolol is indicated in patients who have survived the acute phase of myocardial infarction, and are clinically stable, to reduce cardiovascular mortality and the risk of reinfarction.

                     
Migraine
Timolol is indicated for the prophylaxis of migraine headache.",HYPERTENSION,TIMOLOL ANHYDROUS,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_10763,,DB00373,87fe4811-1f32-ae9e-e053-2a95a90a9f1d.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
8.0,"
                     
Hypertension
Acebutolol hydrochloride capsules, USP are indicated for the management of hypertension in adults. It may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics.

                     
Ventricular Arrhythmias
Acebutolol hydrochloride capsules, USP are indicated in the management of ventricular premature beats; it reduces the total number of premature beats, as well as the number of paired and multiform ventricular ectopic beats, and R-on-T beats.",HYPERTENSION,ACEBUTOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB01193,8a2799ba-dbd0-4aea-8bb0-35468ffaea94.xml,Indication_treatment,Indication: Treatment,3,,
9.0,"Nicardipine hydrochloride capsules are indicated for the management of patients with chronic stable angina (effort-associated angina). Nicardipine hydrochloride capsules may be used alone or in combination with beta-blockers. 
Nicardipine hydrochloride capsules are indicated for the treatment of hypertension. Nicardipine hydrochloride capsules may be used alone or in combination with other antihypertensive drugs. In administering nicardipine hydrochloride it is important to be aware of the relatively large peak to trough differences in blood pressure effect (See 
         
 
  
DOSAGE AND ADMINISTRATION",HYPERTENSION,NICARDIPINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00622,7e931c00-a198-a65a-e053-2991aa0a44e8.xml,Indication_treatment,Indication: Treatment,3,,
10.0,"Betaxolol Hydrochloride Ophthalmic Solution has been shown to be effective in lowering intraocular pressure and is indicated in the treatment of ocular hypertension and chronic open-angle glaucoma. It may be used alone or in combination with other anti-glaucoma drugs.
In clinical studies, Betaxolol Hydrochloride Ophthalmic Solution was safely used to lower intraocular pressure in 47 patients with both glaucoma and reactive airway disease who were followed for a mean period of 15 months. However, caution should be used in treating patients with severe reactive airway disease or a history of asthma.",HYPERTENSION,BETAXOLOL,"i_dont_know
indication_treatment
indication_treatment",Indication: Treatment,Inconsistent,IDK,DOID_10763,,DB00195,aa8fb0a7-d31a-46aa-a207-f0d05afc1672.xml,Indication_treatment,Indication: Treatment,0,,Indication: Treatment
11.0,"Terazosin capsules, USP are indicated for the treatment of symptomatic benign prostatic hyperplasia (BPH). There is a rapid response, with approximately 70% of patients experiencing an increase in urinary flow and improvement in symptoms of BPH when treated with terazosin capsules, USP. The long-term effects of terazosin capsules, USP on the incidence of surgery, acute urinary obstruction or other complications of BPH are yet to be determined.
Terazosin capsules, USP are also indicated for the treatment of hypertension. Terazosin capsules, USP can be used alone or in combination with other antihypertensive agents such as diuretics or beta-adrenergic blocking agents.",HYPERTENSION,TERAZOSIN,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB01162,5d59b6ec-8f07-ab91-e053-2991aa0adadd.xml,Indication_treatment,Indication: Treatment,3,,
12.0,"Because of the potential for serious adverse effects, minoxidil tablets are indicated only in the treatment of hypertension that is symptomatic or associated with target organ damage and is not manageable with maximum therapeutic doses of a diuretic plus two other antihypertensive drugs. At the present time use in milder degrees of hypertension is not recommended because the benefit-risk relationship in such patients has not been defined.
Minoxidil reduced supine diastolic blood pressure by 20 mm Hg or to 90 mm Hg or less in approximately 75% of patients, most of who had hypertension that could not be controlled by other drugs.",HYPERTENSION,minoxidil,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00350,66cce4de-c6bc-42f8-9fdf-6c9814f58152.xml,Indication_treatment,Indication: Treatment,3,,
13.0,"Benazepril hydrochloride tablets, USP are indicated for the treatment of hypertension. Benazepril hydrochloride tablets may be used alone or in combination with thiazide diuretics.
In using benazepril consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. Available data are insufficient to show that benazepril hydrochloride tablets do not have a similar risk (see WARNINGS).
Black patients receiving ACE inhibitors have been reported to have a higher incidence of angioedema compared to nonblacks. It should also be noted that in controlled clinical trials ACE inhibitors have an effect on blood pressure that is less in black patients than in nonblacks.",HYPERTENSION,BENAZEPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00542,8fdc8bda-635a-401f-a9b5-8a2a514b429e.xml,Indication_treatment,Indication: Treatment,3,,
14.0,"[None, '\n                     ', 'Hypertension:', None, 'Trandolapril tablets are indicated for the treatment of hypertension. They \nmay be used alone or in combination with other antihypertensive medication such \nas hydrochlorothiazide.', 'In considering the use of trandolapril tablets, it should be noted that in \ncontrolled trials ACE inhibitors (for which adequate data are available) cause a \nhigher rate of angioedema in black than in non-black patients. (See ', '\n                        ', 'Warnings: Angioedema', 'When using trandolapril tablets, consideration should be given to the fact \nthat another angiotensin converting enzyme inhibitor, captopril, has caused \nagranulocytosis, particularly in patients with renal impairment or \ncollagen-vascular disease. Available data are insufficient to show that \ntrandolapril tablets do not have a similar risk. (See ', '\n                        ', 'WARNINGS']",HYPERTENSION,TRANDOLAPRIL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10763,,DB00519,02953299-f03e-4305-9b78-8590f2ad4a46.xml,Indication_treatment,Indication: Treatment,3,,
