"id","struct_id","concept_id","relationship_name","concept_name","umls_cui","snomed_full_name","cui_semantic_type","snomed_conceptid","id-2","identifier","id_type","struct_id-2","parent_match"
173432,965,40249340,"indication","Malignant tumor of breast","C0006142","Malignant tumor of breast","T191",254837009,1343872,"DB00858","DRUGBANK_ID",965,True
173432,965,40249340,"indication","Malignant tumor of breast","C0006142","Malignant tumor of breast","T191",254837009,1343651,"DB14655","DRUGBANK_ID",965,NULL
173433,318,21000716,"indication","Gout","C0018099","Gout","T047",90560007,1342779,"DB12319","DRUGBANK_ID",318,NULL
173434,318,21003276,"indication","Hyperuricemia","C0740394","Hyperuricemia","T047",35885006,1342779,"DB12319","DRUGBANK_ID",318,NULL
173435,1031,21001432,"indication","Hypertensive disorder","C0020538","Hypertensive disorder","T047",38341003,1343568,"DB13989","DRUGBANK_ID",1031,NULL
173436,3578,21000235,"indication","Malaria","C0024530","Malaria","T047",61462000,1341847,"DB06608","DRUGBANK_ID",3578,NULL
173437,5197,40249232,"indication","Laron-type isolated somatotropin defect","C0271568","Laron-type isolated somatotropin defect","T047",38196001,1343675,"DB14751","DRUGBANK_ID",5197,NULL
173438,2189,21003205,"indication","Cough","C0010200","Cough","T184",49727002,1342958,"DB13224","DRUGBANK_ID",2189,NULL
173439,2454,21001847,"indication","Chronic bronchitis","C0008677","Chronic bronchitis","T047",63480004,1343037,"DB13315","DRUGBANK_ID",2454,NULL
173440,2005,21002811,"indication","Osteoarthritis","C0029408","Osteoarthritis","T047",396275006,1343084,"DB13363","DRUGBANK_ID",2005,NULL
173441,175,21003147,"indication","Weight loss","C0043096","Weight loss","T033",89362005,1341436,"DB01490","DRUGBANK_ID",175,NULL
173443,5279,21000157,"indication","Human immunodeficiency virus infection","C0019693","Human immunodeficiency virus infection","T047",86406008,1342832,"DB12698","DRUGBANK_ID",5279,NULL
173444,5280,40249341,"indication","Immune thrombocytopenia","C0272286","Immune thrombocytopenia","T047",2897005,1343899,"DB07159","DRUGBANK_ID",5280,True
173444,5280,40249341,"indication","Immune thrombocytopenia","C0272286","Immune thrombocytopenia","T047",2897005,1342727,"DB12010","DRUGBANK_ID",5280,NULL
173445,5281,21002686,"indication","Plaque psoriasis","C0406317","Plaque psoriasis","T047",200965009,1343576,"DB14004","DRUGBANK_ID",5281,NULL
