drug	indication
DB00659	C0001973
DB00284	C0011860
DB00284	C1852093
DB00284	C1841962
DB00284	C1838100
DB01193	C0020538
DB01193	C0020544
DB00316	C1963179
DB00316	C1962977
DB00316	C0338480
DB00316	C0442874
DB00316	C0029408
DB00819	C0268318
DB00819	C0234972
DB00819	C0398701
DB00819	C1300226
DB00819	C0036572
DB00819	C0033845
DB00414	C0011860
DB00414	C1852093
DB00414	C1841962
DB00414	C1838100
DB01063	C0036341
DB00787	C0456909
DB00210	C0678108
DB00640	C1963282
DB00131	C1963282
DB00240	C0576224
DB00630	C1563292
DB00630	C0029401
DB00630	C0023234
DB00630	C1563292
DB00630	C0029401
DB00346	C0026821
DB00346	C1962977
DB00346	C1527263
DB01258	C0020538
DB01258	C0085580
DB01258	C0020544
DB00523	C0036220
DB00437	C0023281
DB00437	C0403720
DB00918	C0338480
DB00969	C0030779
DB00404	C0235025
DB00404	C1868649
DB00915	C0026769
DB00915	C0030567
DB00915	C0265259
DB01122	C0026896
DB01143	C1306459
DB00594	C0008732
DB00594	C1300226
DB00594	C0020538
DB00594	C0020544
DB00357	C0456909
DB01223	C0027430
DB01223	C1869116
DB01223	C0034067
DB01118	C1560249
DB00321	C0020458
DB00321	C1962977
DB00321	C0235025
DB00381	C0007785
DB00381	C0010068
DB00381	C0020538
DB00381	C0085580
DB00381	C0034734
DB00381	C0020544
DB01351	C0234972
DB01351	C0036572
DB00182	C1263846
DB01427	C0007193
DB01217	C0006142
DB01217	C0242292
DB01125	C2041124
DB00714	C0030567
DB00714	C0030567
DB00407	C0040053
DB00278	C0040053
DB01238	C0029421
DB01238	C0036341
DB01169	C1306459
DB00945	C0085278
DB00945	C0432215
DB00945	C0007785
DB00945	C1963179
DB00945	C1962977
DB00945	C0023234
DB00945	C0338480
DB00945	C0029408
DB00945	C0029408
DB00945	C0029408
DB00945	C1843859
DB00945	C0948008
DB00945	C0024141
DB00637	C0520946
DB01072	C0004364
DB00335	C0005745
DB00335	C0026267
DB00289	C1263846
DB01076	C1704417
DB00572	C0014356
DB00572	C1963252
DB00995	C0015773
DB00928	C0265219
DB00928	C0027947
DB00928	C1510411
DB00993	C0271270
DB00993	C0576224
DB00993	C0678202
DB00993	C0026769
DB00993	C0026896
DB00993	C1864921
DB00993	C0036202
DB00993	C0024141
DB00993	C0043117
DB00548	C0678108
DB00181	C0026838
DB00181	C0013423
DB00181	C0020179
DB00181	C1962977
DB00181	C0026769
DB00181	C0023882
DB00181	C0040485
DB00181	C0040997
DB01014	C0678202
DB00394	C0027430
DB00394	C1869116
DB00542	C0020538
DB00542	C0018784
DB00542	C0020544
DB00436	C0398701
DB00436	C1300226
DB00436	C0020538
DB00436	C0027726
DB00436	C0020544
DB01086	C1962977
DB01086	C0029882
DB00868	C0442874
DB00865	C1963185
DB00865	C1963185
DB00865	C0271586
DB00767	C1963179
DB00245	C0242422
DB00245	C0030567
DB00245	C0030567
DB01244	C0020538
DB01244	C0020544
DB00443	C0011615
DB00443	C0011645
DB00443	C0877431
DB00443	C0023652
DB00195	C1842028
DB00195	C0020538
DB00195	C0020544
DB01019	C0017168
DB01019	C0080274
DB01019	C0403645
DB00307	C1306459
DB00307	C0026948
DB01128	C0600139
DB00905	C1842028
DB00905	C1866483
DB00905	C0339573
DB00905	C0020544
DB00810	C0242422
DB00810	C0030567
DB01294	C0850666
DB00612	C0005745
DB00612	C0026267
DB00901	C0027430
DB00901	C1869116
DB00290	C0019829
DB00290	C0023434
DB00290	C0023448
DB00290	C0151779
DB00290	C0151779
DB00290	C0024302
DB00290	C0039590
DB00188	C0026764
DB00559	C0152171
DB00559	C0020544
DB00484	C1842028
DB00484	C1866483
DB00484	C0339573
DB00484	C0020544
DB01194	C1842028
DB01194	C1866483
DB01194	C0339573
DB01194	C0020544
DB00963	C0086543
DB00963	C1850258
DB01200	C0030567
DB00354	C1963179
DB01222	C0027430
DB01222	C1869116
DB01222	C0034067
DB01222	C0678202
DB01222	C0021390
DB00887	C0023890
DB00887	C0008732
DB00887	C0034067
DB00887	C0398701
DB00887	C1300226
DB00887	C0020538
DB00887	C0018784
DB00887	C0027726
DB00887	C0029435
DB00887	C0020544
DB00297	C1962977
DB00921	C1962977
DB01156	C1263846
DB01156	C1868649
DB01156	C0271586
DB00490	C0034219
DB00490	C0025362
DB00490	C0040412
DB00490	C1833791
DB00490	C1868649
DB00490	C1863733
DB01008	C0023418
DB01008	C0032580
DB01008	C1306459
DB01008	C0001815
DB01008	C0032463
DB00241	C1963179
DB00241	C0338480
DB00611	C1962977
DB00248	C0033375
DB00201	C0013144
DB00201	C1963179
DB00201	C1962977
DB00201	C0338480
DB00201	C0029408
DB00136	C0018784
DB00136	C0221468
DB00136	C0042875
DB00796	C0020538
DB00796	C0020544
DB01101	C0006142
DB01101	C0009402
DB01101	C0699791
DB01101	C1306459
DB01101	C0600139
DB01101	C0007134
DB01197	C0004775
DB01197	C0398701
DB01197	C1300226
DB01197	C0020538
DB01197	C0018784
DB01197	C0034734
DB01197	C0020544
DB00564	C0034219
DB00564	C0013423
DB00564	C0031117
DB00564	C1876177
