,drugbank_id,drugbank_name,pubchem_id,stitch_id_flat,umls_cui_from_label,method,concept_name,meddra_type,umls_cui_from_meddra,meddra_name
0,DB00014,Goserelin,47725,CID100047725,C0002871,text_mention,Anemia,PT,C0002871,Anaemia
1,DB00014,Goserelin,47725,CID100047725,C0006142,NLP_indication,Malignant neoplasm of breast,PT,C0006142,Breast cancer
2,DB00014,Goserelin,47725,CID100047725,C0006826,NLP_precondition,Malignant Neoplasms,PT,C0006826,Neoplasm malignant
3,DB00014,Goserelin,47725,CID100047725,C0014175,NLP_indication,Endometriosis,PT,C0014175,Endometriosis
4,DB00014,Goserelin,47725,CID100047725,C0025323,text_mention,Menorrhagia,PT,C0025323,Menorrhagia
5,DB00014,Goserelin,47725,CID100047725,C0025874,NLP_precondition,Metrorrhagia,PT,C0025874,Metrorrhagia
6,DB00014,Goserelin,47725,CID100047725,C0027627,text_mention,Neoplasm Metastasis,PT,C0027627,Metastasis
7,DB00014,Goserelin,47725,CID100047725,C0030193,NLP_indication,Pain,PT,C0030193,Pain
8,DB00014,Goserelin,47725,CID100047725,C0042133,text_mention,Uterine Fibroids,PT,C0042133,Uterine leiomyoma
9,DB00014,Goserelin,47725,CID100047725,C0153690,NLP_precondition,Bone cancer metastatic,PT,C0153690,Bone cancer metastatic
10,DB00014,Goserelin,47725,CID100047725,C0178879,NLP_precondition,Urinary tract obstruction,PT,C0178879,Urinary tract obstruction
11,DB00014,Goserelin,47725,CID100047725,C0376358,NLP_indication,Malignant neoplasm of prostate,PT,C0376358,Prostate cancer
12,DB00014,Goserelin,47725,CID100047725,C0600139,NLP_indication,Prostate carcinoma,PT,C0376358,Prostate cancer
13,DB00014,Goserelin,47725,CID100047725,C3495917,NLP_indication,Advanced breast cancer,PT,C0006142,Breast cancer
14,DB00035,Desmopressin,27991,CID100027991,C0008533,NLP_indication,Hemophilia B,PT,C0008533,Factor IX deficiency
15,DB00035,Desmopressin,27991,CID100027991,C0011848,NLP_precondition,Diabetes Insipidus,PT,C0011848,Diabetes insipidus
16,DB00035,Desmopressin,27991,CID100027991,C0012797,text_mention,Diuresis,PT,C0032617,Polyuria
17,DB00035,Desmopressin,27991,CID100027991,C0014394,text_mention,Enuresis,PT,C0014394,Enuresis
18,DB00035,Desmopressin,27991,CID100027991,C0018674,NLP_indication,Craniocerebral Trauma,PT,C0018674,Head injury
19,DB00035,Desmopressin,27991,CID100027991,C0018924,text_mention,Hemarthrosis,PT,C0018924,Haemarthrosis
20,DB00035,Desmopressin,27991,CID100027991,C0019069,NLP_indication,Hemophilia A,PT,C0019069,Factor VIII deficiency
21,DB00035,Desmopressin,27991,CID100027991,C0019080,text_mention,Hemorrhage,PT,C0019080,Haemorrhage
22,DB00035,Desmopressin,27991,CID100027991,C0019080,text_mention,Hemorrhage,PT,C0518015,Haemoglobin
23,DB00035,Desmopressin,27991,CID100027991,C0025323,text_mention,Menorrhagia,PT,C0025323,Menorrhagia
24,DB00035,Desmopressin,27991,CID100027991,C0027424,text_mention,Nasal congestion (finding),PT,C0027424,Nasal congestion
25,DB00035,Desmopressin,27991,CID100027991,C0028734,NLP_indication,Nocturia,PT,C0028734,Nocturia
26,DB00035,Desmopressin,27991,CID100027991,C0032617,NLP_indication,Polyuria,PT,C0032617,Polyuria
27,DB00035,Desmopressin,27991,CID100027991,C0032617,NLP_indication,Polyuria,PT,C1167965,Urine output increased
28,DB00035,Desmopressin,27991,CID100027991,C0035459,text_mention,"Rhinitis, Atrophic",PT,C0035459,Rhinitis atrophic
29,DB00035,Desmopressin,27991,CID100027991,C0042023,text_mention,Increased frequency of micturition,PT,C0042023,Pollakiuria
30,DB00035,Desmopressin,27991,CID100027991,C0042974,NLP_indication,von Willebrand Disease,PT,C0042974,Von Willebrand's disease
31,DB00035,Desmopressin,27991,CID100027991,C0043251,text_mention,Wounds and Injuries,PT,C3263723,Injury
32,DB00035,Desmopressin,27991,CID100027991,C0085602,NLP_indication,Polydipsia,PT,C0085602,Polydipsia
33,DB00035,Desmopressin,27991,CID100027991,C0162283,NLP_indication,Nephrogenic Diabetes Insipidus,PT,C0162283,Nephrogenic diabetes insipidus
34,DB00035,Desmopressin,27991,CID100027991,C0240412,text_mention,Muscle hematoma,PT,C0151702,Muscle haemorrhage
35,DB00035,Desmopressin,27991,CID100027991,C0270327,NLP_indication,Bedwetting,PT,C0014394,Enuresis
36,DB00035,Desmopressin,27991,CID100027991,C0549376,text_mention,Plasma osmolality decreased,PT,C0853755,Blood osmolarity decreased
37,DB00035,Desmopressin,27991,CID100027991,C0687720,NLP_indication,Central Diabetes Insipidus,PT,C0011848,Diabetes insipidus
38,DB00035,Desmopressin,27991,CID100027991,C0848232,NLP_indication,Nocturnal polyuria,PT,C0028734,Nocturia
39,DB00035,Desmopressin,27991,CID100027991,C0919923,text_mention,Nasal mucosa atrophy,PT,C0919923,Nasal mucosa atrophy
40,DB00035,Desmopressin,27991,CID100027991,C1260880,text_mention,Rhinorrhea,PT,C0027441,Nasopharyngitis
41,DB00035,Desmopressin,27991,CID100027991,C1260880,text_mention,Rhinorrhea,PT,C1260880,Rhinorrhoea
42,DB00035,Desmopressin,27991,CID100027991,C2228139,NLP_indication,Primary nocturnal enuresis,PT,C0014394,Enuresis
43,DB00035,Desmopressin,27991,CID100027991,C2748540,text_mention,Mucosal bleeding,PT,C0854375,Mucosal haemorrhage
44,DB00035,Desmopressin,27991,CID100027991,C3263723,text_mention,Traumatic injury,PT,C3263723,Injury
45,DB00050,Cetrorelix,25074886,CID125074886,C0025320,NLP_indication,Menopause,PT,C0025320,Menopause
46,DB00050,Cetrorelix,25074886,CID125074886,C1140680,NLP_precondition,Malignant neoplasm of ovary,PT,C1140680,Ovarian cancer
47,DB00091,Cyclosporine,2909,CID100002909,C0003873,NLP_indication,Rheumatoid Arthritis,PT,C0003873,Rheumatoid arthritis
48,DB00091,Cyclosporine,2909,CID100002909,C0003873,NLP_indication,Rheumatoid Arthritis,PT,C0003864,Arthritis
49,DB00091,Cyclosporine,2909,CID100002909,C0011615,NLP_indication,"Dermatitis, Atopic",PT,C0011615,Dermatitis atopic
50,DB00091,Cyclosporine,2909,CID100002909,C0017665,text_mention,Membranous glomerulonephritis,PT,C0017665,Glomerulonephritis membranous
51,DB00091,Cyclosporine,2909,CID100002909,C0018129,NLP_indication,Graft Rejection,PT,C0018129,Transplant rejection
52,DB00091,Cyclosporine,2909,CID100002909,C0018133,NLP_indication,Graft-vs-Host Disease,PT,C0018133,Graft versus host disease
53,DB00091,Cyclosporine,2909,CID100002909,C0021368,text_mention,Inflammation,PT,C0021368,Inflammation
54,DB00091,Cyclosporine,2909,CID100002909,C0022575,text_mention,Keratoconjunctivitis Sicca,PT,C0314719,Dry eye
55,DB00091,Cyclosporine,2909,CID100002909,C0027721,NLP_indication,Lipoid nephrosis,PT,C1704320,Glomerulonephritis minimal lesion
56,DB00091,Cyclosporine,2909,CID100002909,C0027726,NLP_precondition,Nephrotic Syndrome,PT,C0027726,Nephrotic syndrome
57,DB00091,Cyclosporine,2909,CID100002909,C0033860,NLP_indication,Psoriasis,PT,C0033860,Psoriasis
58,DB00091,Cyclosporine,2909,CID100002909,C0042164,NLP_indication,Uveitis,PT,C0042164,Uveitis
59,DB00091,Cyclosporine,2909,CID100002909,C0042167,NLP_indication,"Uveitis, Posterior",PT,C0008526,Choroiditis
60,DB00091,Cyclosporine,2909,CID100002909,C0178664,text_mention,Glomerulosclerosis (disorder),PT,C0178664,Glomerulosclerosis
61,DB00091,Cyclosporine,2909,CID100002909,C0268731,NLP_indication,Renal glomerular disease,PT,C0268731,Glomerulonephropathy
62,DB00091,Cyclosporine,2909,CID100002909,C0403397,text_mention,Steroid-resistant nephrotic syndrome,PT,C0027726,Nephrotic syndrome
63,DB00091,Cyclosporine,2909,CID100002909,C0406317,NLP_precondition,Plaque psoriasis,PT,C0033860,Psoriasis
64,DB00104,Octreotide,54373,CID100054373,C0000833,text_mention,Abscess,PT,C0000833,Abscess
65,DB00104,Octreotide,54373,CID100054373,C0001206,NLP_indication,Acromegaly,PT,C0001206,Acromegaly
66,DB00104,Octreotide,54373,CID100054373,C0001339,text_mention,Pancreatitis acute,PT,C0001339,Pancreatitis acute
67,DB00104,Octreotide,54373,CID100054373,C0003862,text_mention,Arthralgia,PT,C0948594,Musculoskeletal discomfort
68,DB00104,Octreotide,54373,CID100054373,C0003862,text_mention,Arthralgia,PT,C0003862,Arthralgia
69,DB00104,Octreotide,54373,CID100054373,C0007095,NLP_indication,Carcinoid Tumor,PT,C0007095,Carcinoid tumour
70,DB00104,Octreotide,54373,CID100054373,C0007286,NLP_indication,Carpal Tunnel Syndrome,PT,C0007286,Carpal tunnel syndrome
71,DB00104,Octreotide,54373,CID100054373,C0011991,NLP_indication,Diarrhea,PT,C0011991,Diarrhoea
72,DB00104,Octreotide,54373,CID100054373,C0011993,text_mention,Vipoma,PT,C0011993,Vipoma
73,DB00104,Octreotide,54373,CID100054373,C0014132,NLP_precondition,Endocrine Gland Neoplasms,PT,C0014132,Endocrine neoplasm
74,DB00104,Octreotide,54373,CID100054373,C0015672,NLP_indication,Fatigue,PT,C0015672,Fatigue
75,DB00104,Octreotide,54373,CID100054373,C0015672,NLP_indication,Fatigue,PT,C0004093,Asthenia
76,DB00104,Octreotide,54373,CID100054373,C0016382,NLP_indication,Flushing,PT,C0016382,Flushing
77,DB00104,Octreotide,54373,CID100054373,C0017150,text_mention,Gastrinoma,PT,C0017150,Gastrinoma
78,DB00104,Octreotide,54373,CID100054373,C0017689,text_mention,Glucagonoma,PT,C0017689,Glucagonoma
79,DB00104,Octreotide,54373,CID100054373,C0018681,NLP_indication,Headache,PT,C0018681,Headache
80,DB00104,Octreotide,54373,CID100054373,C0019080,NLP_indication,Hemorrhage,PT,C0019080,Haemorrhage
81,DB00104,Octreotide,54373,CID100054373,C0019080,NLP_indication,Hemorrhage,PT,C0518015,Haemoglobin
82,DB00104,Octreotide,54373,CID100054373,C0020458,NLP_indication,Hyperhidrosis disorder,PT,C0020458,Hyperhidrosis
83,DB00104,Octreotide,54373,CID100054373,C0020541,text_mention,"Hypertension, Portal",PT,C0020541,Portal hypertension
84,DB00104,Octreotide,54373,CID100054373,C0020615,NLP_indication,Hypoglycemia,PT,C0020615,Hypoglycaemia
85,DB00104,Octreotide,54373,CID100054373,C0020621,NLP_indication,Hypokalemia,PT,C0020621,Hypokalaemia
86,DB00104,Octreotide,54373,CID100054373,C0021670,text_mention,insulinoma,PT,C0021670,Insulinoma
87,DB00104,Octreotide,54373,CID100054373,C0021843,text_mention,Intestinal Obstruction,PT,C0021843,Intestinal obstruction
88,DB00104,Octreotide,54373,CID100054373,C0024586,NLP_precondition,Malignant Carcinoid Syndrome,PT,C0024586,Carcinoid syndrome
89,DB00104,Octreotide,54373,CID100054373,C0027627,text_mention,Neoplasm Metastasis,PT,C0027627,Metastasis
90,DB00104,Octreotide,54373,CID100054373,C0027651,NLP_indication,Neoplasms,PT,C0027651,Neoplasm
91,DB00104,Octreotide,54373,CID100054373,C0030290,text_mention,Pancreatic Fistula,PT,C0030290,Pancreatic fistula
92,DB00104,Octreotide,54373,CID100054373,C0030554,NLP_indication,Paresthesia,PT,C0030554,Paraesthesia
93,DB00104,Octreotide,54373,CID100054373,C0032000,text_mention,Pituitary Adenoma,PT,C0496901,Pituitary tumour benign
94,DB00104,Octreotide,54373,CID100054373,C0032787,text_mention,Postoperative Complications,PT,C1141930,Post procedural complication
95,DB00104,Octreotide,54373,CID100054373,C0038999,NLP_indication,Swelling,PT,C0038999,Swelling
96,DB00104,Octreotide,54373,CID100054373,C0040100,text_mention,Thymoma,PT,C0040100,Thymoma
97,DB00104,Octreotide,54373,CID100054373,C0043515,text_mention,Zollinger-Ellison syndrome,PT,C0017150,Gastrinoma
98,DB00104,Octreotide,54373,CID100054373,C0155789,NLP_precondition,Bleeding esophageal varices,PT,C0155789,Oesophageal varices haemorrhage
99,DB00104,Octreotide,54373,CID100054373,C0206754,NLP_indication,Neuroendocrine Tumors,PT,C0206754,Neuroendocrine tumour
100,DB00104,Octreotide,54373,CID100054373,C0239182,NLP_indication,Watery diarrhoea,PT,C0011991,Diarrhoea
101,DB00104,Octreotide,54373,CID100054373,C0243026,text_mention,Sepsis,PT,C0243026,Sepsis
102,DB00104,Octreotide,54373,CID100054373,C0346647,text_mention,Malignant neoplasm of pancreas,PT,C0235974,Pancreatic carcinoma
103,DB00104,Octreotide,54373,CID100054373,C2609266,NLP_indication,Gastroesophageal varices,PT,C0014867,Varices oesophageal
104,DB00125,L-Arginine,232,CID100000232,C0001206,text_mention,Acromegaly,PT,C0001206,Acromegaly
105,DB00125,L-Arginine,232,CID100000232,C0001430,text_mention,Adenoma,PT,C0001430,Adenoma benign
106,DB00125,L-Arginine,232,CID100000232,C0010276,text_mention,Craniopharyngioma,PT,C0010276,Craniopharyngioma
107,DB00125,L-Arginine,232,CID100000232,C0013338,text_mention,Pituitary dwarfism,PT,C0013336,Dwarfism
108,DB00125,L-Arginine,232,CID100000232,C0017547,text_mention,Gigantism,PT,C0017547,Gigantism
109,DB00125,L-Arginine,232,CID100000232,C0043251,text_mention,Wounds and Injuries,PT,C3263723,Injury
110,DB00125,L-Arginine,232,CID100000232,C0221347,NLP_precondition,Acrocyanosis,PT,C0010520,Cyanosis
111,DB00125,L-Arginine,232,CID100000232,C0242343,text_mention,Panhypopituitarism,PT,C0020635,Hypopituitarism
112,DB00125,L-Arginine,232,CID100000232,C0858734,text_mention,Insulin hypoglycemia,PT,C0020615,Hypoglycaemia
113,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0011849,text_mention,Diabetes Mellitus,PT,C0011849,Diabetes mellitus
114,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0020557,text_mention,Hypertriglyceridemia,PT,C0853692,Blood triglycerides increased
115,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0020557,text_mention,Hypertriglyceridemia,PT,C0020557,Hypertriglyceridaemia
116,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0020676,text_mention,Hypothyroidism,PT,C0020676,Hypothyroidism
117,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0028754,text_mention,Obesity,PT,C0028754,Obesity
118,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0030305,text_mention,Pancreatitis,PT,C0030305,Pancreatitis
119,DB00132,Alpha-Linolenic Acid,56842239,CID156842239,C0043096,text_mention,Body Weight decreased,PT,C0043096,Weight decreased
120,DB00136,Calcitriol,2524,CID100002524,C0005944,NLP_indication,Metabolic Bone Disorder,PT,C0005944,Bone metabolism disorder
121,DB00136,Calcitriol,2524,CID100002524,C0016658,text_mention,Fracture,PT,C0016655,Multiple fractures
122,DB00136,Calcitriol,2524,CID100002524,C0016658,text_mention,Fracture,PT,C0016658,Fracture
123,DB00136,Calcitriol,2524,CID100002524,C0020503,NLP_indication,"Hyperparathyroidism, Secondary",PT,C0020503,Hyperparathyroidism secondary
124,DB00136,Calcitriol,2524,CID100002524,C0020598,NLP_indication,Hypocalcemia,PT,C0020598,Hypocalcaemia
125,DB00136,Calcitriol,2524,CID100002524,C0020626,NLP_indication,Hypoparathyroidism,PT,C0020626,Hypoparathyroidism
126,DB00136,Calcitriol,2524,CID100002524,C0022661,NLP_indication,"Kidney Failure, Chronic",PT,C0022661,Renal failure chronic
127,DB00136,Calcitriol,2524,CID100002524,C0029405,text_mention,Osteitis Fibrosa Cystica,PT,C0029405,Brown tumour
128,DB00136,Calcitriol,2524,CID100002524,C0029405,text_mention,Osteitis Fibrosa Cystica,PT,C1262165,High turnover osteopathy
129,DB00136,Calcitriol,2524,CID100002524,C0029453,text_mention,Osteopenia,PT,C0029453,Osteopenia
130,DB00136,Calcitriol,2524,CID100002524,C0029456,NLP_indication,Osteoporosis,PT,C0029456,Osteoporosis
131,DB00136,Calcitriol,2524,CID100002524,C0029458,NLP_precondition,"Osteoporosis, Postmenopausal",PT,C0029458,Osteoporosis postmenopausal
132,DB00136,Calcitriol,2524,CID100002524,C0033806,NLP_indication,Pseudohypoparathyroidism,PT,C0033806,Pseudohypoparathyroidism
133,DB00136,Calcitriol,2524,CID100002524,C0035086,text_mention,Renal Osteodystrophy,PT,C0035086,Renal osteodystrophy
134,DB00136,Calcitriol,2524,CID100002524,C0264009,text_mention,Osteodystrophy,PT,C0264009,Osteodystrophy
135,DB00136,Calcitriol,2524,CID100002524,C0748089,text_mention,PTH high,PT,C0853023,Blood parathyroid hormone increased
136,DB00136,Calcitriol,2524,CID100002524,C1533591,text_mention,Calcification,PT,C0006663,Calcinosis
137,DB00136,Calcitriol,2524,CID100002524,C1704375,NLP_indication,Hypophosphatemic Rickets,PT,C1704375,Hypophosphataemic rickets
138,DB00152,Thiamine,1130,CID100001130,C0003123,text_mention,Anorexia,PT,C0232462,Decreased appetite
139,DB00152,Thiamine,1130,CID100001130,C0004134,text_mention,Ataxia,PT,C0004134,Ataxia
140,DB00152,Thiamine,1130,CID100001130,C0005122,NLP_indication,Beriberi,PT,C0039841,Vitamin B1 deficiency
141,DB00152,Thiamine,1130,CID100001130,C0007222,text_mention,Cardiovascular Diseases,PT,C0007222,Cardiovascular disorder
142,DB00152,Thiamine,1130,CID100001130,C0009421,text_mention,Comatose,PT,C0009421,Coma
143,DB00152,Thiamine,1130,CID100001130,C0013604,text_mention,Edema,PT,C0013604,Oedema
144,DB00152,Thiamine,1130,CID100001130,C0015967,text_mention,Fever,PT,C0015967,Body temperature increased
145,DB00152,Thiamine,1130,CID100001130,C0018801,text_mention,Heart failure,PT,C0018801,Cardiac failure
146,DB00152,Thiamine,1130,CID100001130,C0020550,text_mention,Hyperthyroidism,PT,C0020550,Hyperthyroidism
147,DB00152,Thiamine,1130,CID100001130,C0021831,text_mention,Intestinal Diseases,PT,C0017178,Gastrointestinal disorder
148,DB00152,Thiamine,1130,CID100001130,C0023895,text_mention,Liver diseases,PT,C0151763,Hepatocellular injury
149,DB00152,Thiamine,1130,CID100001130,C0023895,text_mention,Liver diseases,PT,C0023895,Liver disorder
150,DB00152,Thiamine,1130,CID100001130,C0023895,text_mention,Liver diseases,PT,C0239571,Foetor hepaticus
151,DB00152,Thiamine,1130,CID100001130,C0024523,text_mention,Malabsorption Syndrome,PT,C0024523,Malabsorption
152,DB00152,Thiamine,1130,CID100001130,C0027497,text_mention,Nausea,PT,C0027497,Nausea
153,DB00152,Thiamine,1130,CID100001130,C0027813,text_mention,Neuritis,PT,C0027813,Neuritis
154,DB00152,Thiamine,1130,CID100001130,C0027813,text_mention,Neuritis,PT,C0031117,Neuropathy peripheral
155,DB00152,Thiamine,1130,CID100001130,C0028738,text_mention,Nystagmus,PT,C0028738,Nystagmus
156,DB00152,Thiamine,1130,CID100001130,C0029089,text_mention,Ophthalmoplegia,PT,C0029089,Ophthalmoplegia
157,DB00152,Thiamine,1130,CID100001130,C0029089,text_mention,Ophthalmoplegia,PT,C0028866,IIIrd nerve paralysis
158,DB00152,Thiamine,1130,CID100001130,C0031117,text_mention,Peripheral Neuropathy,PT,C0031117,Neuropathy peripheral
159,DB00152,Thiamine,1130,CID100001130,C0039841,NLP_indication,Thiamine Deficiency,PT,C0039841,Vitamin B1 deficiency
160,DB00152,Thiamine,1130,CID100001130,C0042963,text_mention,Vomiting,PT,C0042963,Vomiting
161,DB00152,Thiamine,1130,CID100001130,C0043121,text_mention,Wernicke Encephalopathy,PT,C0043121,Wernicke's encephalopathy
162,DB00152,Thiamine,1130,CID100001130,C0085584,text_mention,Encephalopathies,PT,C0085584,Encephalopathy
163,DB00152,Thiamine,1130,CID100001130,C0234985,text_mention,Mental deterioration,PT,C1306341,Mental disability
164,DB00152,Thiamine,1130,CID100001130,C0743971,text_mention,Chronic fever,PT,C0015967,Body temperature increased
165,DB00153,Ergocalciferol,3249,CID100003249,C0020626,NLP_indication,Hypoparathyroidism,PT,C0020626,Hypoparathyroidism
166,DB00153,Ergocalciferol,3249,CID100003249,C0035579,text_mention,Rickets,PT,C0035579,Rickets
167,DB00153,Ergocalciferol,3249,CID100003249,C0085682,text_mention,Hypophosphatemia,PT,C0085682,Hypophosphataemia
168,DB00153,Ergocalciferol,3249,CID100003249,C2363065,text_mention,Vitamin D-resistant rickets,PT,C3536983,Rickets familial hypophosphataemic
169,DB00153,Ergocalciferol,3249,CID100003249,C3536983,text_mention,Familial Hypophosphatemic Rickets,PT,C3536983,Rickets familial hypophosphataemic
170,DB00158,Folic Acid,3405,CID100003405,C0002871,NLP_indication,Anemia,PT,C0002871,Anaemia
171,DB00158,Folic Acid,3405,CID100003405,C0002888,NLP_indication,"Anemia, Megaloblastic",PT,C0002888,Anaemia megaloblastic
172,DB00158,Folic Acid,3405,CID100003405,C0002892,NLP_precondition,"Anemia, Pernicious",PT,C0002892,Pernicious anaemia
173,DB00158,Folic Acid,3405,CID100003405,C0007570,NLP_indication,Celiac Disease,PT,C0007570,Coeliac disease
174,DB00158,Folic Acid,3405,CID100003405,C0014544,NLP_precondition,Epilepsy,PT,C0014544,Epilepsy
175,DB00158,Folic Acid,3405,CID100003405,C0016412,NLP_indication,Folic Acid Deficiency,PT,C0016412,Folate deficiency
176,DB00159,Icosapent,56842239,CID156842239,C0011849,text_mention,Diabetes Mellitus,PT,C0011849,Diabetes mellitus
177,DB00159,Icosapent,56842239,CID156842239,C0020557,text_mention,Hypertriglyceridemia,PT,C0853692,Blood triglycerides increased
178,DB00159,Icosapent,56842239,CID156842239,C0020557,text_mention,Hypertriglyceridemia,PT,C0020557,Hypertriglyceridaemia
