Label_ID,Set_ID,Drug_Brand_Name,Active_ingredient,UNII_ID,Section,Text,WordCount,DB_ID,Drug_name
276a14ff-47c4-404c-aff5-0df4dc4b7192.xml,ac387aa0-3f04-4865-a913-db6ed6f4fdc5,Marplan,ISOCARBOXAZID,34237V843T,Contraindications,"Marplan (isocarboxazid) should not be administered in combination with any of the following: MAO inhibitors or dibenzazepine derivatives; sympathomimetics (including amphetamines); some central nervous system depressants (including narcotics and alcohol); antihypertensive, diuretic, antihistaminic, sedative or anesthetic drugs, buproprion HCL, buspirone HCL, dextromethorphan, cheese or other foods with a high tyramine content; or excessive quantities of caffeine.
Marplan (isocarboxazid) should not be administered to any patient with a confirmed or suspected cerebrovascular defect or to any patient with cardiovascular disease, hypertension, or history of headache.
 
Contraindicated Patient Populations
 
Hypersensitivity
Marplan should not be used in patients with known hypersensitivity to isocarboxazid.
 
Cerebrovascular Disorders
Marplan should not be administered to any patient with a confirmed or suspected cerebrovascular defect or to any patient with cardiovascular disease or hypertension.
 
Pheochromocytoma
Marplan should not be used in the presence of pheochromocytoma, as such tumors secrete pressor substances whose metabolism may be inhibited by Marplan.
 
Liver Disease
Marplan should not be used in patients with a history of liver disease, or in those with abnormal liver function tests.
 
Renal Impairment
Marplan should not be used in patients with severe impairment of renal function.
 
Contraindicated MAOI-Other Drug Combinations
 
Other MAOI Inhibitors or With Dibenzazepine-Related Entities
Marplan should not be administered together with, or in close proximity to, other MAO inhibitors or dibenzazepine-related entities. Hypertensive crises, severe convulsive seizures, coma, or circulatory collapse may occur in patients receiving such combinations.
In patients being transferred to Marplan from another MAO inhibitor or from a dibenzazepine-related entity, a medication-free interval of at least 1 week should be allowed, after which Marplan therapy should be started using half the normal starting dosage for at least the first week of therapy. Similarly, at least 1 week should elapse between the discontinuation of Marplan and initiation of another MAO inhibitor or dibenzazepine-related entity, or the readministration of Marplan. The following list includes some other MAO inhibitors, dibenzazepine-related entities, and tricyclic antidepressants.
 
 
 
 
Generic Name
 
Trademark (Manufacturer)
 
 
Other MAO Inhibitors
 
Furazolidone
Furoxone
(r)
 
Pargyline HCL
Eutonyl
(r)
 
Pargyline HCL and methyclothiazide
Eutron
(r)
 
Phenelzine sulfate
Nardil
(r)
 
Procarbazine
Matulane
(r)
 
Tranylcypromine sulfate
Parnate
(r)
 
 
Dibenzazepine-Related and Other Tricyclics
 
Amitriptyline HCL
Elavil
(r)
 
Endep
(r)
 
Perphenazine and amitriptyline HCL
Etrafon
(r)
 
Triavil
(r)
 
Clomipramine hydrochloride
Anafranil
(r)
 
Desipramine HCL
Norpramin
(r)
 
Pertofrane
(r)
 
Imipramine HCL
Janimine
(r)
 
Tofranil
(r)
 
Nortriptyline HCL
Aventyl
(r)
 
Pamelor
(r)
 
Protripyline HCL
Vivactil
(r)
 
Doxepin HCL
Adapin
(r)
 
Sinequan
(r)
 
Carbamazepine
Tegretol
(r)
 
Cyclobenzaprine HCL
Flexeril
(r)
 
Amoxapine
Asendin
(r)
 
Maprotiline HCL
Ludiomil
(r)
 
Trimipramine maleate
Surmontil
(r)
The concurrent administration of a MAO inhibitor and buproprion hydrochloride (Wellbutrin
(r)
(r)
Marplan should not be administered in combination with any SSRI. There have been reports of serious, sometimes fatal, reactions (including hyperthermia, rigidity, myoclonus, autonomic instability with possible rapid fluctuations of vital signs, and mental status changes that include extreme agitation and confusion progressing to delirium and coma) in patients receiving fluoxetine (Prozac
(r)
(r)
(r)
Marplan should not be used in combination with buspirone HCL (Buspar
(r)
Marplan should not be administered in combination with sympathomimetics, including amphetamines, or with over-the-counter drugs such as cold, hay fever, or weight-reducing preparations that contain vasoconstrictors.
During Marplan therapy, it appears that some patients are particularly vulnerable to the effects of sympathomimetics when the activity of metabolizing enzymes is inhibited. Use of sympathomimetics and compounds such as guanethidine, methyldopa, methylphenidate, reserpine, epinephrine, norepinephrine, phenylalanine, dopamine, levodopa, tyrosine, and tryptophan with Marplan may precipitate hypertension, headache, and related symptoms. The combination of MAO inhibitors and tryptophan has been reported to cause behavioral and neurologic symptoms, including disorientation, confusion, amnesia, delirium, agitation, hypomanic signs, ataxia, myoclonus, hyperreflexia, shivering, ocular oscillations, and Babinski signs.
Meperidine should not be used concomitantly with MAO inhibitors or within 2 or 3 weeks following MAO therapy. Serious reactions have been precipitated with concomitant use, including coma, severe hypertension or hypotension, severe respiratory depression, convulsions, malignant hyperpyrexia, excitation, peripheral vascular collapse, and death. It is thought that these reactions may be mediated by accumulation of 5-HT (serotonin) consequent to MAO inhibition.
Marplan should not be used in combination with dextromethorphan. The combination of MAO inhibitors and dextromethorphan has been reported to cause brief episodes of psychosis or bizarre behavior.
Hypertensive crises have sometimes occurred during Marplan therapy after ingestion of foods with a high tyramine content. In general, patients should avoid protein foods in which aging or protein breakdown is used to increase flavor. In particular, patients should be instructed not to take foods such as cheese (particularly strong or aged varieties), sour cream, Chianti wine, sherry, beer (including non-alcoholic beer), liqueurs, pickled herring, anchovies, caviar, liver, canned figs, raisins, bananas or avocados (particularly if overripe), chocolate, soy sauce, sauerkraut, the pods of broad beans (fava beans), yeast extracts, yogurt, meat extracts, meat prepared with tenderizers, or dry sausage.
Patients taking Marplan should not undergo elective surgery requiring general anesthesia. Also, they should not be given cocaine or local anesthesia containing sympathomimetic vasoconstrictors. The possible combined hypotensive effects of Marplan and spinal anesthesia should be kept in mind. Marplan should be discontinued at least 10 days before elective surgery.
Marplan should not be used in combination with some central nervous system depressants, such as narcotics, barbiturates, or alcohol. 
Marplan should not be used in combination with antihypertensive agents, including thiazide diuretics. A marked potentiating effect on these drugs has been reported, resulting in hypotension.
Excessive use of caffeine in any form should be avoided in patients receiving Marplan.",908,DB01247,Isocarboxazid
276a14ff-47c4-404c-aff5-0df4dc4b7192.xml,ac387aa0-3f04-4865-a913-db6ed6f4fdc5,Marplan,ISOCARBOXAZID,34237V843T,Indications,"Marplan is indicated for the treatment of depression. Because of its potentially serious side effects, Marplan is not an antidepressant of first choice in the treatment of newly diagnosed depressed patients.
The efficacy of Marplan in the treatment of depression was established in 6-week controlled trials of depressed outpatients. These patients had symptoms that corresponded to the DSM-IV category of major depressive disorder; however, they often also had signs and symptoms of anxiety (anxious mood, panic, and/or phobic symptoms) 
(
see 
 
CLINICAL PHARMACOLOGY
).
A major depressive episode (DSM-IV) implies a prominent and relatively persistent (nearly every day for at least 2 weeks) depressed or dysphoric mood that usually interferes with daily functioning, and includes at least five of the following nine symptoms: depressed mood, loss of interest in usual activities, significant change in weight and/or appetite, insomnia or hypersomnia, psychomotor agitation or retardation, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, and a suicide attempt or suicidal ideation.
The antidepressant effectiveness of Marplan in hospitalized depressed patients, or in endogenomorphically retarded and delusionally depressed patients, has not been adequately studied.
The effectiveness of Marplan in long-term use, that is, for more than 6 weeks, has not been systematically evaluated in controlled trials. Therefore, the physician who elects to use Marplan for extended periods should periodically evaluate the long-term usefulness of the drug for the individual patient.",231,DB01247,Isocarboxazid
f0e16cc6-966d-4e3c-99c9-29a45d3480dc.xml,80e736d3-2017-4d68-94b4-38255c3c59c6,Cuprimine,Penicillamine,GNN1DV99GX,Indications,"CUPRIMINE is indicated in the treatment of Wilson's disease, cystinuria, and in patients with severe, active rheumatoid arthritis who have failed to respond to an adequate trial of conventional therapy. Available evidence suggests that CUPRIMINE is not of value in ankylosing spondylitis. 
Wilson's disease (hepatolenticular degeneration) occurs in individuals who have inherited an autosomal-recessive defect that leads to an accumulation of copper far in excess of metabolic requirements. The excess copper is deposited in several organs and tissues, and eventually produces pathological effects primarily in the liver, where damage progresses to postnecrotic cirrhosis, and in the brain, where degeneration is widespread. Copper is also deposited as characteristic, asymptomatic, golden-brown Kayser-Fleischer rings in the corneas of all patients with cerebral symptomatology and some patients who are either asymptomatic or manifest only hepatic symptomatology. 
Two types of patients require treatment for Wilson's disease: (1) the symptomatic, and (2) the asymptomatic in whom it can be assumed the disease will develop in the future if the patient is not treated. 
The diagnosis, if suspected on the basis of family or individual history or physical examination, can be confirmed if the plasma copper-protein ceruloplasmin** is less than 20 mg/dL and either a quantitative determination in a liver biopsy specimen shows an abnormally high concentration of copper (greater than 250 mcg/g dry weight) or Kayser-Fleischer rings are present. 
Treatment has two objectives: 
 
 
(1)
 
(2)
The first objective is attained by a daily diet that contains no more than 1 or 2 mg of copper. Such a diet should exclude, most importantly, chocolate, nuts, shellfish, mushrooms, liver, molasses, broccoli, and cereals and dietary supplements enriched with copper, and be composed to as great an extent as possible of foods with a low copper content. Distilled or demineralized water should be used if the patient's drinking water contains more than 0.1 mg/L of copper. 
For the second objective, a copper chelating agent is used. 
In symptomatic patients, this treatment usually produces marked neurologic improvement, fading of Kayser-Fleischer rings, and gradual amelioration of hepatic dysfunction and psychic disturbances. 
Clinical experience to date suggests that life is prolonged with the above regimen. 
Noticeable improvement may not occur for 1 to 3 months. Occasionally, neurologic symptoms become worse during initiation of therapy with CUPRIMINE. Despite this, the drug should not be withdrawn. Temporary interruption carries an increased risk of developing a sensitivity reaction upon resumption of therapy, although it may result in clinical improvement of neurological symptoms (see 
WARNINGS
Treatment of asymptomatic patients has been carried out for over 30 years. Symptoms and signs of the disease appear to be prevented indefinitely if daily treatment with CUPRIMINE is continued. 
Cystinuria is characterized by excessive urinary excretion of the dibasic amino acids, arginine, lysine, ornithine, and cystine, and the mixed disulfide of cysteine and homocysteine. The metabolic defect that leads to cystinuria is inherited as an autosomal-recessive trait. Metabolism of the affected amino acids is influenced by at least two abnormal factors: (1) defective gastrointestinal absorption and (2) renal tubular dysfunction. 
Arginine, lysine, ornithine, and cysteine are soluble substances, readily excreted. There is no apparent pathology connected with their excretion in excessive quantities. 
Cystine, however, is so slightly soluble at the usual range of urinary pH that it is not excreted readily, and so crystallizes and forms stones in the urinary tract. Stone formation is the only known pathology in cystinuria. 
Normal daily output of cystine is 40 to 80 mg. In cystinuria, output is greatly increased and may exceed 1 g/day. At 500 to 600 mg/day, stone formation is almost certain. When it is more than 300 mg/day, treatment is indicated.
Conventional treatment is directed at keeping urinary cystine diluted enough to prevent stone formation, keeping the urine alkaline enough to dissolve as much cystine as possible, and minimizing cystine production by a diet low in methionine (the major dietary precursor of cystine). Patients must drink enough fluid to keep urine-specific gravity below 1.010, take enough alkali to keep urinary pH at 7.5 to 8, and maintain a diet low in methionine. This diet is not recommended in growing children and probably is contraindicated in pregnancy because of its low protein content (see 
PRECAUTIONS
When these measures are inadequate to control recurrent stone formation, CUPRIMINE may be used as additional therapy, and when patients refuse to adhere to conventional treatment, CUPRIMINE may be a useful substitute. It is capable of keeping cystine excretion to near normal values, thereby hindering stone formation and the serious consequences of pyelonephritis and impaired renal function that develop in some patients. Bartter and colleagues depict the process by which penicillamine interacts with cystine to form penicillamine-cysteine mixed disulfide as:
 
 
 
 
 
CSSC + PS'
 
 
 
CS' + CSSP
 
 
 
PSSP + CS'
 
 
 
PS' + CSSP
 
 
 
CSSC + PSSP'
 
 
 
2CSSP
 
 
 
CSSC = cystine
 
 
 
CS' = deprotonated cysteine
 
 
 
PSSP = penicillamine disulfide
 
 
 
PS' = deprotonated penicillamine sulfhydryl
 
 
 
CSSP = penicillamine-cysteine mixed disulfide
In this process, it is assumed that the deprotonated form of penicillamine, PS', is the active factor in bringing about the disulfide interchange. 
Because CUPRIMINE can cause severe adverse reactions, its use in rheumatoid arthritis should be restricted to patients who have severe, active disease and who have failed to respond to an adequate trial of conventional therapy. Even then, benefit-to-risk ratio should be carefully considered. Other measures, such as rest, physiotherapy, salicylates, and corticosteroids, should be used, when indicated, in conjunction with CUPRIMINE (see 
PRECAUTIONS",897,DB00859,Penicillamine
f0e16cc6-966d-4e3c-99c9-29a45d3480dc.xml,80e736d3-2017-4d68-94b4-38255c3c59c6,Cuprimine,Penicillamine,GNN1DV99GX,Contraindications,"Except for the treatment of Wilson's disease or certain patients with cystinuria, use of penicillamine during pregnancy is contraindicated (see 
WARNINGS
Although breast milk studies have not been reported in animals or humans, mothers on therapy with penicillamine should not nurse their infants. 
Patients with a history of penicillamine-related aplastic anemia or agranulocytosis should not be restarted on penicillamine (see 
WARNINGS
ADVERSE REACTIONS
Because of its potential for causing renal damage, penicillamine should not be administered to rheumatoid arthritis patients with a history or other evidence of renal insufficiency.",89,DB00859,Penicillamine
75907d04-0c9d-4a6a-b8c0-7d88ab5ad337.xml,db8a3ae7-fb5b-47a9-a9f7-f57cd90501c2,Isoniazid,ISONIAZID,V83O1VOZ8L,Indications,"Isoniazid oral solution is recommended for all forms of tuberculosis in which organisms are susceptible. However, active tuberculosis must be treated with multiple concomitant anti-tuberculosis medications to prevent the emergence of drug resistance. Single-drug treatment of active tuberculosis with isoniazid or any other medication is inadequate therapy.
Isoniazid oral solution is recommended as preventive therapy for the following groups, regardless of age. (Note: the criterion for a positive reaction to a skin test (in millimeters of induration) for each group is given in parenthesis):
 
Persons with human immunodeficiency virus (HIV) infection (greater than or equal to 5 mm) and persons with risk factors for HIV infection whose HIV infection status is unknown but who are suspected of having HIV infection. Preventive therapy may be considered for HIV infected persons who are tuberculin-negative but belong to groups in which the prevalence of tuberculosis infection is high. Candidates for preventive therapy who have HIV infection should have a minimum of 12 months of therapy.
Close contacts of persons with newly diagnosed infectious tuberculosis (greater than or equal to 5 mm). In addition, tuberculin-negative (less than 5 mm) children and adolescents who have been close contacts of infectious persons within the past 3 months are candidates for preventive therapy until a repeat tuberculin skin test is done 12 weeks after contact with the infectious source. If the repeat skin test is positive (greater than 5 mm), therapy should be continued.
Recent converters, as indicated by a tuberculin skin test (greater than or equal to 10 mm increase within a 2-year period for those less than 35 years old; greater than or equal to 15 mm increase for those greater than or equal to 35 years of age). All infants and children younger than 4 years of age with a greater than 10 mm skin test are included in this category.
Persons with abnormal chest radiographs that show fibrotic lesions likely to represent old healed tuberculosis (greater than or equal to 5 mm). Candidates for preventive therapy who have fibrotic pulmonary lesions consistent with healed tuberculosis or who have pulmonary silicosis should have 12 months of isoniazid or 4 months of isoniazid and rifampin, concomitantly.
Intravenous drug users known to be HIV-seronegative (greater than 10 mm).
Persons with the following medical conditions that have been reported to increase the risk of tuberculosis (greater than or equal to 10 mm): silicosis; diabetes mellitus; prolonged therapy with adrenocorticosteroids; immunosuppressive therapy; some hematologic and reticuloendothelial diseases, such as leukemia or Hodgkin's disease; end-stage renal disease; clinical situations associated with substantial rapid weight loss or chronic undernutrition (including: intestinal bypass surgery for obesity, the postgastrectomy state [with or without weight loss], chronic peptic ulcer disease, chronic malabsorption syndromes and carcinomas of the oropharynx and upper gastrointestinal tract that prevent adequate nutritional intake). Candidates for preventive therapy who have fibrotic pulmonary lesions consistent with healed tuberculosis or who have pulmonary silicosis should have 12 months of isoniazid or 4 months of isoniazid and rifampin, concomitantly.
Additionally, in the absence of any of the above risk factors, persons under the age of 35 with a tuberculin skin test reaction of 10 mm or more are also appropriate candidates for preventive therapy if they are a member of any of the following high-incidence groups:
 
Foreign-born persons from high-prevalence countries who never received BCG vaccine.
Medically underserved low-income populations, including high-risk racial or ethnic minority populations, especially blacks, Hispanics and Native Americans.
Residents of facilities for long-term care (e.g., correctional institutions, nursing homes and mental institutions).
Children who are less than 4 years old are candidates for isoniazid preventive therapy if they have greater than 10 mm induration from a PPD Mantoux tuberculin skin test.
Finally, persons under the age of 35 who a) have none of the above risk factors (1 to 6); b) belong to none of the high-incidence groups; and c) have a tuberculin skin test reaction of 15 mm or more, are appropriate candidates for preventive therapy.
The risk of hepatitis must be weighed against the risk of tuberculosis in positive tuberculin reactors over the age of 35. However, the use of isoniazid is recommended for those with the additional risk factors listed above (1 to 6) and on an individual basis in situations where there is likelihood of serious consequences to contacts who may become infected.",719,DB00951,Isoniazid
75907d04-0c9d-4a6a-b8c0-7d88ab5ad337.xml,db8a3ae7-fb5b-47a9-a9f7-f57cd90501c2,Isoniazid,ISONIAZID,V83O1VOZ8L,Contraindications,"Isoniazid is contraindicated in patients who develop severe hypersensitivity reactions, including drug-induced hepatitis; previous isoniazid-associated hepatic injury; severe adverse reactions to isoniazid such as drug fever, chills, arthritis; and acute liver disease of any etiology.",35,DB00951,Isoniazid
b5024702-310b-4170-a820-86ba597c4894.xml,4ebb9704-6b9f-4b47-aac4-d54fe34f0b83,CEFOTAXIME,CEFOTAXIME,N2GI8B1GK7,Indications,"Cefotaxime for Injection USP is indicated for the treatment of patients with serious infections caused by susceptible strains of the designated microorganisms in the diseases listed below.
 
 
Lower
respiratory
tract
infections
Streptococcus
pneumoniae
Diplococcus
pneumoniae
Streptococcus
pyogenes
Enterococcus
faecalis
Staphylococcus
aureus
Escherichia
coli
Klebsiella
Haemophilus
influenzae
Haemophilus
parainfluenzae
Proteus
mirabilis
Serratia
marcescens
Enterobacter
Proteus
Pseudomonas
P.
aeruginosa
 
Genitourinary
infections
Enterococcus
Staphylococcus
epidermidis
Staphylococcus
aureus
Citrobacter
Enterobacter
Escherichia
coli
Klebsiella
Proteus
mirabilis
Proteus
vulgaris
Providencia
stuartii
Morganella
morganii*
Providencia
rettgeri*
Serratia
marcescens
Pseudomonas
P.
aeruginosa
Neisseria
gonorrhoeae
 
Gynecologic
infections
Staphylococcus
epidermidis
Streptococcus
Enterococcus
Enterobacter
Klebsiella
Escherichia
coli
Proteus
mirabilis
Bacteroides
Bacteroides
fragilis
Clostridium
Peptostreptococcus
Peptococcus
Fusobacterium
F.
nucleatum
Chlamydia
trachomatis
C.
trachomatis
 
Bacteremia/Septicemia
Escherichia
coli
Klebsiella
Serratia
marcescens
Staphylococcus
aureus
Streptococcus
S.
pneumonia
 
Skin
and
skin
structure
infections
Staphylococcus
aureus
Staphylococcus
epidermidis
Streptococcus
pyogenes
Enterococcus
Acinetobacter
Escherichia
coli
Citrobacter
C.
freundii
Enterobacter
Klebsiella
Proteus
mirabilis
Proteus
vulgaris
Morganella
morganii
Providencia
rettgeri*
Pseudomonas
Serratia
marcescens
Bacteroides
Peptostreptococcus*
Peptococcus
 
Intra-abdominal
infections
Streptococcus
Escherichia
coli
Klebsiella
Bacteroides
Peptostreptococcus*
Peptococcus*
Proteus
mirabilis
Clostridium
 
Bone
and/or
joint
infections
Staphylococcus
aureus
Streptococcus
S.
pyogenes
Pseudomonas
P.
aeruginosa
Proteus
mirabilis
 
Central
nervous
system
infections
Neisseria
meningitidis
Haemophilus
influenzae
Streptococcus
pneumoniae
Klebsiella
pneumoniae*
Escherichia
coli*.
(*) Efficacy for this organism, in this organ system, has been studied in fewer than 10 infections. 
Although many strains of enterococci (e.g., 
S
faecalis
Pseudomonas
in
vitro
Specimens for bacteriologic culture should be obtained prior to therapy in order to isolate and identify causative organisms and to determine their susceptibilities to cefotaxime for injection USP. Therapy may be instituted before results of susceptibility studies are known; however, once these results become available, the antibiotic treatment should be adjusted accordingly.
In certain cases of confirmed or suspected gram-positive or gram-negative sepsis or in patients with other serious infections in which the causative organism has not been identified, cefotaxime for injection USP may be used concomitantly with an aminoglycoside. The dosage recommended in the labeling of both antibiotics may be given and depends on the severity of the infection and the patient's condition. Renal function should be carefully monitored, especially if higher dosages of the aminoglycosides are to be administered or if therapy is prolonged, because of the potential nephrotoxicity and ototoxicity of aminoglycoside antibiotics. It is possible that nephrotoxicity may be potentiated if cefotaxime for injection USP is used concomitantly with an aminoglycoside. 
The administration of cefotaxime for injection USP preoperatively reduces the incidence of certain infections in patients undergoing surgical procedures (e.g., abdominal or vaginal hysterectomy, gastrointestinal and genitourinary tract surgery) that may be classified as contaminated or potentially contaminated. 
In patients undergoing cesarean section, intraoperative (after clamping the umbilical cord) and postoperative use of cefotaxime for injection USP may also reduce the incidence of certain postoperative infections. See 
 
DOSAGE AND ADMINISTRATION 
Effective use for elective surgery depends on the time of administration. To achieve effective tissue levels, cefotaxime for injection USP should be given 1/2 or 1 1/2 hours before surgery. See 
 
DOSAGE AND ADMINISTRATION 
For patients undergoing gastrointestinal surgery, preoperative bowel preparation by mechanical cleansing as well as with a non-absorbable antibiotic (e.g., neomycin) is recommended. 
If there are signs of infection, specimens for culture should be obtained for identification of the causative organism so that appropriate therapy may be instituted. 
To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefotaxime for injection USP and other antibacterial drugs, cefotaxime for injection USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",621,DB00493,Cefotaxime
b5024702-310b-4170-a820-86ba597c4894.xml,4ebb9704-6b9f-4b47-aac4-d54fe34f0b83,CEFOTAXIME,CEFOTAXIME,N2GI8B1GK7,Contraindications,"Cefotaxime for injection is contraindicated in patients who have shown hypersensitivity to cefotaxime sodium, or the cephalosporin group of antibiotics.",20,DB00493,Cefotaxime
7a01ce57-930d-7b1f-e053-2991aa0a0d75.xml,9b2f311f-365d-44e8-95eb-65c8709f4851,ATORVASTATIN CALCIUM,ATORVASTATIN,A0JWA85V8F,Indications,"Therapy with lipid-altering agents should be only one component of multiple risk factor intervention in individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia. Drug therapy is recommended as an adjunct to diet when the response to a diet restricted in saturated fat and cholesterol and other nonpharmacologic measures alone has been inadequate. In patients with CHD or multiple risk factors for CHD, atorvastatin calcium tablets can be started simultaneously with diet.
Atorvastatin calcium tablets are an inhibitor of HMG-CoA reductase (statin) indicated as an adjunct therapy to diet to:
 
Reduce the risk of MI, stroke, revascularization procedures, and angina in patients without CHD, but with multiple risk factors ( 
1.1
Reduce the risk of MI and stroke in patients with type 2 diabetes without CHD, but with multiple risk factors ( 
1.1
Reduce the risk of non-fatal MI, fatal and non-fatal stroke, revascularization procedures, hospitalization for CHF, and angina in patients with CHD ( 
1.1
Reduce elevated total-C, LDL-C, apo B, and TG levels and increase HDL-C in adult patients with primary hyperlipidemia (heterozygous familial and nonfamilial) and mixed dyslipidemia ( 
1.2
Reduce elevated TG in patients with hypertriglyceridemia and primary dysbetalipoproteinemia ( 
1.2
Reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia (HoFH) ( 
1.2
Reduce elevated total-C, LDL-C, and apo B levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia after failing an adequate trial of diet therapy ( 
1.2
 
Atorvastatin calcium have not been studied in Fredrickson Types I and V dyslipidemias.
In adult patients without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as age, smoking, hypertension, low HDL-C, or a family history of early coronary heart disease, atorvastatin calcium tablets are indicated to:
 
Reduce the risk of myocardial infarction
Reduce the risk of stroke
Reduce the risk for revascularization procedures and angina
In patients with type 2 diabetes, and without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as retinopathy, albuminuria, smoking, or hypertension, atorvastatin calcium tablets are indicated to: 
 
Reduce the risk of myocardial infarction
Reduce the risk of stroke 
In patients with clinically evident coronary heart disease, atorvastatin calcium tablets are indicated to: 
 
Reduce the risk of non-fatal myocardial infarction
Reduce the risk of fatal and non-fatal stroke
Reduce the risk for revascularization procedures
Reduce the risk of hospitalization for CHF
Reduce the risk of angina 
Atorvastatin calcium tablets are indicated: 
 
As an adjunct to diet to reduce elevated total-C, LDL-C, apo B, and TG levels and to increase HDL-C in patients with primary hypercholesterolemia (heterozygous familial and nonfamilial) and mixed dyslipidemia ( 
Fredrickson
As an adjunct to diet for the treatment of patients with elevated serum TG levels ( 
Fredrickson
For the treatment of patients with primary dysbetalipoproteinemia ( 
Fredrickson
To reduce total-C and LDL-C in patients with homozygous familial hypercholesterolemia as an adjunct to other lipid-lowering treatments (e.g., LDL apheresis) or if such treatments are unavailable; 
As an adjunct to diet to reduce total-C, LDL-C, and apo B levels in boys and postmenarchal girls, 10 to 17 years of age, with heterozygous familial hypercholesterolemia if after an adequate trial of diet therapy the following findings are present: 
 
LDL-C remains >= 190 mg/dL or 
LDL-C remains >= 160 mg/dL and: 
 
there is a positive family history of premature cardiovascular disease or 
two or more other CVD risk factors are present in the pediatric patient
Atorvastatin calcium tablets have not been studied in conditions where the major lipoprotein abnormality is elevation of chylomicrons ( 
Fredrickson",598,DB01076,Atorvastatin
7a01ce57-930d-7b1f-e053-2991aa0a0d75.xml,9b2f311f-365d-44e8-95eb-65c8709f4851,ATORVASTATIN CALCIUM,ATORVASTATIN,A0JWA85V8F,Contraindications,"Active liver disease, which may include unexplained persistent elevations in hepatic transaminase levels ( 
4.1
Women who are pregnant or may become pregnant ( 
4.3
Nursing mothers ( 
4.4
Hypersensitivity to any component of this medication ( 
4.2
Women who are pregnant or may become pregnant. Atorvastatin may cause fetal harm when administered to a pregnant woman. Serum cholesterol and triglycerides increase during normal pregnancy, and cholesterol or cholesterol derivatives are essential for fetal development. Atherosclerosis is a chronic process and discontinuation of lipid-lowering drugs during pregnancy should have little impact on the outcome of long-term therapy of primary hypercholesterolemia. There are no adequate and well-controlled studies of atorvastatin use during pregnancy; however in rare reports, congenital anomalies were observed following intrauterine exposure to statins. In rat and rabbit animal reproduction studies, atorvastatin revealed no evidence of teratogenicity. ATORVASTATIN SHOULD BE ADMINISTERED TO WOMEN OF CHILDBEARING AGE ONLY WHEN SUCH PATIENTS ARE HIGHLY UNLIKELY TO CONCEIVE AND HAVE BEEN INFORMED OF THE POTENTIAL HAZARDS. If the patient becomes pregnant while taking this drug, atorvastatin should be discontinued immediately and the patient apprised of the potential hazard to the fetus [see 
 
Use in Specific Populations (8.1)
It is not known whether atorvastatin is excreted into human milk; however a small amount of another drug in this class does pass into breast milk. Because statins have the potential for serious adverse reactions in nursing infants, women who require atorvastatin treatment should not breastfeed their infants [see 
 
Use in Specific Populations (8.3)",249,DB01076,Atorvastatin
